Category,Subcategory,Product Name,Link,Name,# Star,Date,Title,Description,# Helpful
Superchewer,Superchewer,"Super Chewer by BarkBox Monthly Subscription Box, Dog Box Care Package for Aggressive Chewers, Durable Dog Toys (Small/Medium/Large)",https://www.amazon.com/BarkBox-Monthly-Subscription-Package-Aggressive/dp/B08GND218J?ref_=ast_sto_dp&th=1&psc=1,Marjorie,4.0,"December 31, 2020","Appears high quality, but not safe for us","My dog chewed through one of the toys within about 5 min. The nylon shredded and it did not seem safe so we had to take it away. On the plus side, the ball underneath the nylon was brightly decorated, so when I cut of the cover she still had a fun durable ball to play with. She seems to like the other toy as well; it keeps moving around the house. We were unable to give her any of the treats because they all include chick pea flour and one includes peanuts. One of my children has a history of anaphylaxis to these ingredients. They appear to be high quality treats, and the dog would probably like them, but not worth risking my kid's life to find out. We donated them. I knew there was a risk the treats would contain peanut, but I didn't expect the chick pea flour. I wish they would include ingredients with these product. I usually look them up when I buy dog treats. I bumped my review up because the company is amazing to work with, highly responsive and willing to customize boxes based on your needs. I might continue a subscription directly though bark box, but the generic box as sold through this site is unfortunately not a good fit for us.",8
Superchewer,Superchewer,"Super Chewer by BarkBox Monthly Subscription Box, Dog Box Care Package for Aggressive Chewers, Durable Dog Toys (Small/Medium/Large)",https://www.amazon.com/BarkBox-Monthly-Subscription-Package-Aggressive/dp/B08GND218J?ref_=ast_sto_dp&th=1&psc=1,Elle,5.0,"November 21, 2022",Bark Customer Service is so accommodating,Got this as a gift for my mom’s dog. He was left with a family member who traumatized him and he didn’t have toys of his own so I got him this as a quick solution when he came into my life not realizing Bark customer support would be able to help me customize a box specifically for his needs. The box arrived today and he immediately knew it was for him and grabbed the turkey barker first. He was so happy when I asked him to show it to me he lifted it up mid play for a quick picture. He’s a destroyer and he hasn’t even gotten passed the first layer. He’s so happy thanks Bark team!,4
Superchewer,Superchewer,"Super Chewer by BarkBox Monthly Subscription Box, Dog Box Care Package for Aggressive Chewers, Durable Dog Toys (Small/Medium/Large)",https://www.amazon.com/BarkBox-Monthly-Subscription-Package-Aggressive/dp/B08GND218J?ref_=ast_sto_dp&th=1&psc=1,T G,3.0,"October 13, 2022",Not for Super Chewers,"As much as my dog loves the toys and treats, nothing has lasted past a few hours. Disappointed.",2
Superchewer,Superchewer,"Super Chewer by BarkBox Monthly Subscription Box, Dog Box Care Package for Aggressive Chewers, Durable Dog Toys (Small/Medium/Large)",https://www.amazon.com/BarkBox-Monthly-Subscription-Package-Aggressive/dp/B08GND218J?ref_=ast_sto_dp&th=1&psc=1,Larry Helsel,5.0,"April 2, 2022",The only toys that survive my super chewer!,Wonderful selection of toys and treats! My dog is a super-chewer and has destroyed any typical dog toy. (This dog chews on rocks and pieces of asphalt!) most store bought toys he has in pieces in under 5 minutes. The toys from this box subscription are going strong for months. He loves the treats and they give you enough to keep your dog for the month.,5
Superchewer,Superchewer,"Super Chewer by BarkBox Monthly Subscription Box, Dog Box Care Package for Aggressive Chewers, Durable Dog Toys (Small/Medium/Large)",https://www.amazon.com/BarkBox-Monthly-Subscription-Package-Aggressive/dp/B08GND218J?ref_=ast_sto_dp&th=1&psc=1,Kelly,5.0,"January 11, 2022",My boo bear loves his box.,"My boo bear, loves his box. He is a Pitt bull mix and he will be 8 years old this year. He was so picky with his treats until I found bark box. He gets so excited when his box comes. His favorite is the honey flavored sticks. Thanks for making my boy happy.",3
Superchewer,Superchewer,"Super Chewer by BarkBox Monthly Subscription Box, Dog Box Care Package for Aggressive Chewers, Durable Dog Toys (Small/Medium/Large)",https://www.amazon.com/BarkBox-Monthly-Subscription-Package-Aggressive/dp/B08GND218J?ref_=ast_sto_dp&th=1&psc=1,jackpineman,5.0,"October 6, 2022",First box WAS A HIT,Ripp loves these toys and treats....We'll see how long they last.,One
Superchewer,Superchewer,"Super Chewer by BarkBox Monthly Subscription Box, Dog Box Care Package for Aggressive Chewers, Durable Dog Toys (Small/Medium/Large)",https://www.amazon.com/BarkBox-Monthly-Subscription-Package-Aggressive/dp/B08GND218J?ref_=ast_sto_dp&th=1&psc=1,Mikayla daggett,3.0,"September 20, 2021",Decent box,The treats are amazing but the toys not so much. I have only received super hard plastic toys. My dogs wont even play with them. If you drop them they would break your toes. I have 3 dogs all different breeds and none of them play with these toys. So overall a waist of money for our household.,2
Superchewer,Superchewer,"Super Chewer by BarkBox Monthly Subscription Box, Dog Box Care Package for Aggressive Chewers, Durable Dog Toys (Small/Medium/Large)",https://www.amazon.com/BarkBox-Monthly-Subscription-Package-Aggressive/dp/B08GND218J?ref_=ast_sto_dp&th=1&psc=1,Larry Scheuermann,3.0,"June 22, 2022",Way too expensive…!!,Way too expensive…!!,5
Superchewer,Superchewer,"Super Chewer by BarkBox Monthly Subscription Box, Dog Box Care Package for Aggressive Chewers, Durable Dog Toys (Small/Medium/Large)",https://www.amazon.com/BarkBox-Monthly-Subscription-Package-Aggressive/dp/B08GND218J?ref_=ast_sto_dp&th=1&psc=1,Humberto Isaza,3.0,"April 25, 2022",Small was not tough for our dog,Toys did not last long and interest was short lived. Jerky and treats were great!,One
Superchewer,Superchewer,"Super Chewer by BarkBox Monthly Subscription Box, Dog Box Care Package for Aggressive Chewers, Durable Dog Toys (Small/Medium/Large)",https://www.amazon.com/BarkBox-Monthly-Subscription-Package-Aggressive/dp/B08GND218J?ref_=ast_sto_dp&th=1&psc=1,S,5.0,"April 11, 2022",My Belgian Malinois Loved this box,My Belgian Malinois loved everything in the box. One toy she chewed up pretty quick but the other one is still going strong which is rare with any toys we get her.,2
