Name,Stars,Date,Title,Description,Helpful,Not_Helpful
Iris Domínguez K.,5,2023-07-17,Peach Keiser review ,Peach likes it.. she is a very picky eater. ,1,0
Mary M.,5,2023-07-06,Blitz,Great,1,0
Constance J.,5,2023-07-02,Loved it,My dog loved it she  very picky eater but love this food ,1,0
Scott B.,5,2023-07-01,Good quality food,DAMIEN my German Shepherd really loves this food.  A lot of high quality products at a reasonable price.  I recommend this product,1,0
Michaela F.,5,2023-07-01,My dogs love it,I have a 4 years old sheepadoodle and 16 year old Bichon Frise and they both love this food. They get so happy when it’s time for breakfast and dinner.,1,0
Turkey c/o Ro C.,5,2023-06-25,Love at first bite,The dog absolutely loves it and more stickers for the hoomans please!,1,0
Sarah S.,5,2023-06-22,Picky eater,Finally found a food that my very picky eater actually enjoys! Both dog mom and dog are very happy.,1,1
Heather S.,5,2023-06-21,Food,Have a super picky and sensitive German shepherd and he absolute loves this food and is digesting it all very well! Have always struggled to find food that doesn’t upset him and this is it. Will continue to buy 😃,2,0
Christine M.,5,2023-06-21,Rue loves it!!!,This food has been such a good change for my dog. She eats it up. Her energy level is up. She just seems all around better.,2,0
Elisa H.,5,2023-06-19,Buck Buck Buck best ever,I have been feeding my pack Bark Food for a while now so when my adult daughter said her golden had a meh attitude towards every food she tried I sent her this food. Finn now is an enthusiastic eater. Thank you Bark for saving the day.,1,0
Anthony M.,5,2023-07-06,My Dog [APBT] absolutely loves this food .,"Yes a bit pricey, but the 15lb bag actually feeds like a 20-25 lb bag.  
Highly recommend !",0,0
Heather D.,5,2023-07-05,No More Itchies!,"My 9 year old pit bull developed terrible skin issues. It wasn’t diagnosed by a vet, but it was very visible. She had spots of dryness, but she also had spots that were severely dry & scaley that they would sometimes open up. I was trying different remedies on the irritations, but it wasn’t going away. I decided to try the Kibble of the Sea & I’m amazed at what it did for her. She doesn’t have any more skin issues, absolutely none! It all cleared up. I am just upset with myself that I didn’t try this food sooner for her. My pittie & I are so grateful!",3,0
Amanda B.,5,2023-07-05,Kibble of the Sea,Libby loves it!,0,0
Nicole K.,5,2023-07-03,My Dog loves it !,I think it his helping with my dogs sensitive skin,1,0
Jordon C.,5,2023-07-03,11/10. Gordon Ramsey would approve!,Perfect for my pitbull. Breed specific is an outstanding idea. He eats more of bark food than he has any other food we've tried. 11/10 would definitely recommend!!,0,0
Heather D.,5,2023-07-03,Awesome ,It’s amazing ,0,0
Diane R.,5,2023-07-03,Great for allergies,"This dog food has been working out well for our pittie who is allergic to almost everything. This is the first dog food that I 've seen just for pitties. I was excited to see it and we now have it on auto order.
",0,0
Sandra C.,5,2023-06-22,Love it,I now have 3 pitties and they all love Bark food. All got star reports from their vet check up and are doing great,0,0
Mimi M.,5,2023-06-16,Amazing!,My dogs are very very picky but now they are eating much more they really enjoy this dog food definitely will keep feeding them this food definitely recommend!,0,0
Larry I.,5,2023-06-09,Dopamine loves it,He is not eating it much due to another health issue,0,0
Angie C.,5,2023-06-16,"He’s not picky, but still","I’m stoked to switch to BARK food for my Cirrus. The ingredients are better than what he was eating, and he seems to stay fuller in between meals. Anything to make him happier and live longer!",1,0
Alexis L.,5,2023-06-14,The best! ,"I have a German Shepard husky mix that has been on expensive prescription only food for the last two years. When I saw the ingredients of this, I thought we would give it a try and thankfully it was a perfect fit! Better ingredients than the prescription, half the price, and every one is happy! Thank you guys for making the best for the best! ",2,0
Lawrence S.,5,2023-06-14,Awesome Food my boxer Loves it!,Awesome Food my boxer Loves it!,0,0
Susie G.,5,2023-06-12,Our 1 1/2 year old loves it,Our German Shepherd seems to really enjoy this food. Having the auto ship is a bonus!,0,0
Eva S.,5,2023-05-30,She loves it,It's a great snack,0,0
Dan S.,5,2023-07-08,Perfect for my pup.,"I had an allergy test done on my doggone, and it turns out she is allergic to corn, Peanuts, and Oats. This food is perfect because my dog does not react to the ingredients. Her coat is shiny, she doesn't scratch, and her poops look healthy now. Plus she loves it, always asking for more!",0,0
Toi M.,5,2023-07-05,Very nice ,Loved it,0,0
Dayna K.,5,2023-07-03,Should have switched sooner! ,"Both my Boston and Frenchie have been on the same food brand for over a year, then they started having skin and tummy issues. After switching them to Bark’s food the tummy issues have disappeared and their skin issues are starting to disappear. Not to mention Bark’s food cost is so much better. I only wish I could change the auto ship to every three weeks. Two weeks is too soon and four weeks is too late. But I’ll order an extra bag to even things out! Thank you Bark for being an amazing company and keeping our pups your #1 priority! ",0,0
