Name,#Stars,Date Posted,Title,Description,Date of Experience,#Useful
BEinFL,5,2022-07-04,My pup was the recipient of a BarkBox…,My pup was the recipient of a BarkBox for over 3 years. We both looked forward to seeing the toys and goodies custom packed for my little guy. The boxes are themed to seasonal items or holidays making the contents even cuter. For us it all started as a gift subscription from a friend when we first rescued our pup. Since the boxes were so enjoyable we continued our order for the following years.,2022-07-04,0
Andrea Londergon,5,2022-07-04,Barkbox made a generous donation to the…,"Barkbox made a generous donation to the Joliet Montessori School silent auction fundraiser. I did not personally bid on the item because we do not have a dog, but I did organize the fundraiser. I am very grateful for the donation that helped raise part of $11,000.00 for our school.",2022-07-04,0
Gozer Dirts Mom,5,2022-07-05,Barbox is WONDERFUL!,"Barbox has ended up being even better than what I'd hoped-for. The toys, treats, chews, & the themes... oh my gosh, it's just too much & the quality is GREAT!! Gozer gets so excited when he sees his box each month. It is absolutely adorable!! 5 starts - would totally recommend - outstanding products, quick delivery, AND impeccable customer service - loved it so much, I've upgraded to the 12 month plan at renewal time! We love Barkbox! ❤️",2022-07-05,0
Jen,5,2022-11-22,Barkbox is an outstanding company,"Instead of spending a lot of money at a pet store for toys that wont last I spend less on barkbox. Easy to set up for durable enough toys, quality treats that are adjustable to food sensitivity and additional addons. My first box the toy was destroyed in less than 2 hours and I messaged them, they sent me a new more durable toy and helped me adjusted the durability level of our subscription, no problem. Awesome. I have been with them since then until I lost my pup. They canceled the subscription for me and offered a help-line if I needed someone to talk to, that was the sweetest thing to have offered. I just now received a wonderful email offering emotional assistance and tips to make it through the holiday season, it's good to have support. I have even more love for this company and how much they care. I wish I could give them more than the 5 stars.",2022-11-21,0
Megan & Tilly,5,2022-07-07,A Dinomite Box!,"I was thrilled to see the theme for the most recent barkbox, Jurassic Bark! Tilly adored all of the toys and eagerly ate her treats. The ""It's in my DNA"" ball has been a favourite to play with, bouncy and fun to chew! Tilly isn't as much as a toy destroyer as my last dog (I foster), so she is currently getting lots of fun out of chewing and squeaking the raptor hatchling, even though she hasn't torn it open. She gets a wonderful hop in her step whenever she plays with her barkbox toys, and I couldn't be happier with the June box.",2022-07-07,0
Kaitlin J,5,2023-03-15,Phenomenal Customer Service!,"The customer service is the best I have seen in a company. My dog has several allergies and they responded very quickly to my email and made changes to the treats I receive in future boxes. The toys are SO CUTE and well made. So happy I've subscribed to monthly boxes, I always cannot wait for them to arrive!",2023-01-15,0
Juliette S,5,2023-05-24,My two labs love receiving their…,My two labs love receiving their BarkBox every month! They even recognize the box at this point. The toys are always great quality and last a long time even with my dogs being big chewers.,2023-05-24,0
Serena Bhatia,1,2023-07-11,Toxic Product,"They don't check if any of their products are at all beneficial to dogs, they include toxic products and only care about your money and their subscription, customer service are robots pretending to be wholesome by using pet names, super insidious.",2023-07-08,0
Shawn Henley,5,2022-12-27,I ordered BarkBox on Dec 9th and…,"I ordered BarkBox on Dec 9th and received the 1st Christmas themed box a week later. I held it til Xmas day for my pup. Unfortunately, she’s a chewer and ate the eats off all the toys in the first few hours. I wasn’t upset because it’s a learning process with my girl. BarkBox asked for feedback on the box. When I told them she ate the ears off all the toys they offered to upgrade, free of charge, for a trial and are sending a replacement toy. Their customer service has been above and beyond!",2022-12-26,0
Jessica Dye,4,2022-10-25,"Great quality, shipping delays","The quality of the toys are the best I've found, my dog doesn't tear thru them quickly, and she loves the treats too. Unfortunately, the shipping has gotten slower every month. We're still waiting on the Oct box to come in after chatting with customer service bc it hadn't been shipped a week ago.",2022-10-25,1
