Name,Job Title,Company,Software Usage,Overall Rating,Ease of Use,Customer Service,Features,Value for Money,Likelihood to Recommend,Source,Date,Overall,Pro,Cons
Bob T.,Online Radio Expert/Host; Podcast Host; Ordained Minister/Award Winning Author/Prof. Public Speaker,"Non-Profit Organization Management, Self-employed",2+ years,5,5,5,5,5,10,Capterra,10/09/2019,100 percent satisfied. I have been approached with offers to switch. I turn every single one of them down. QuickBooks has proven to be to be the absolute best software for me to use in this area.,"I love QuickBooks for Non-Profits!  I have used this software exclusively for the past 10 years with no problems at all. 

I have received numerous compliments from Board Members of the accuracy and detail I provide when it comes to our financial reports. I have been told I provide the best reports they have seen (many are members of other non-profit boards). It is all accomplished with just a few clicks and the reports printed out!","It does take a bit of getting used to. Especially when you are first setting up the system. Once it is set up, it runs along fine.

One thing to make sure of is the category of the items you are entering. Otherwise, your reports will contain mis-categorized information. Be sure to check over your reports for accuracy in that area.  If identified, it is a simple fix - but you must check it over."
Leah D.,Office Administrator,"Law Practice, 1-10 employees",1-2 years,5,5,5,5,5,10,Capterra,08/06/2023,It has been an overall positive experience.  Our old program was clunky and really was not designed like move modern programs.  Quickbooks Online Advanced is truly a great product.,I like that everything is easy to use and intuitive.  We swapped from another program and were able to jump right in and start working immediately with little to no training.,The only issue that I have with Quickbooks Online Advanced has to do with the integration with Clio.  The issue happens when you write one check to a vendor for multiple client matters.  It ports them over to Clio as one entry.  Other than that everything works perfectly.
Ofentse M.,QuickBooks Online Advanced,"Broadcast Media, Self-employed",I used a free trial,3,1,2,3,1,5,Capterra,19/06/2023,QuickBooks Online Advanced issues with online readers,QuickBooks Online Advanced is not impactful to help any one,QuickBooks Online Advanced Is meant to be a quickly online reading not accounting stuff
Virginia M.,Owner,"Financial Services, Self-employed",2+ years,5,5,3,5,5,10,Capterra,22/05/2023,,I like the simplicity and the ease of use for all levels of my customers skills,The customer service is not very good for higher end processing questions
Wes S.,Vice President,"Retail, 11-50 employees",1-2 years,3,1,,3,5,6,Capterra,14/09/2020,"We have used Enterprise for years and we had to make a change because our inventory was getting out of control. Sadly, Enterprise is missing about 5 things to make their manufacturing perfect and it just doesn't look like that is ever going to happen. Accordingly, we had to try and find an MRP software and the only way it would work well was moving to QBO. This was like making a choice to either get punched in the gut or punched in the throat. Either inventory was workable or accounting was workable.",It integrates with our current ECommerce cart and a few other programs (e.g. Zapier).,"They have radically tried to over-simplify the product. For instance, the Vendor tab being under Expenses. As every accountant knows, Vendors aren't solely about Expenses. This is just one example of how, in trying to make this product more intuitive, they have thwarted anyone with accounting experience in using it.

There are so many things you cannot delete. Too many to try and list here."
Paula L.,Asst. Manager Finance,"Hospitality, 51-200 employees",6-12 months,5,4,4,4,5,9,Capterra,07/06/2023,"in overall, a very positive outlook. I believe that it is necessary, but it would be wonderful to have the option of including additional modules without corresponding 100% rise in cost.","The structure of the site is excellent. All of the features have clear labels. In comparison to the desktop version, it has a simpler design. There are still some tweaks that could be performed to make it incredibly easy to use when compared to other applications.","There is nothing specific to mention, other than the fact that it appears to be somewhat technical. Someone with less experience in accounting might want additional time to comprehend how it all works."
Haridas K.,Chief Accountant,"Accounting, 11-50 employees",2+ years,4,4,4,4,4,9,Capterra,23/06/2023,"QuickBooks Online Advanced is a powerful solution designed for medium to large businesses, addressing scalability with robust features, enhanced reporting, and customizable user access. Workflow automation and advanced inventory management streamline operations, while seamless integration with third-party applications ensures connectivity. The software provides improved financial control, increased efficiency through automation, and real-time insights for better decision-making. With its scalability and growth support, QuickBooks Online Advanced empowers businesses to handle increasing transaction volumes and expand operations seamlessly, making it an essential tool for efficient financial management and driving business growth.",Pros:Scalable solution suitable for small and medium-sized businessesIntuitive and user-friendly interfaceStreamlined bank reconciliation processExtensive reporting capabilitiesEasy collaboration and secure data sharingExcellent customer support and online resources,Cons:None that I have encountered so far.
CA Krishan K.,Manager,"Accounting, 1-10 employees",2+ years,5,5,4,5,4,10,Capterra,02/06/2023,Great,"Data entry can be done using the mobile app. You can login on your laptop once a month to reconcile all the transactions. During the month, just a mobile ap is enough to capture the transactions.","It does not provide VAT/Sales tax report in the format required by Feder Tax Authority, UAE. Quickbooks is working on it but it has been five years now."
Molly C.,Senior Financial Manager,"Information Technology and Services, 51-200 employees",1-2 years,5,5,4,4,5,10,Capterra,11/12/2019,"The cost for this product is amazing.  We have saved $100,000 yr since switching from NetSuite. My team and I honestly prefer QuickBooks for everyday bookkeeping and business operations. For our company the switch was a no-brainer.",This software is so easy to use and makes training a breeze.  A ton of the functionality makes everything more efficient and intuitive.  The reporting is awesome and easy to create your own custom reports.,You cannot have multiple tabs open and you cannot easily create consolidated financials to include multiple instances.
Harmony F.,Business Office Manager,"Wholesale, 11-50 employees",6-12 months,4,3,,2,5,7,Capterra,11/12/2019,"Our overall experience with QBO Advanced has been pretty good. I think with the development and implementation of more features or customization of different ""modules"" to be customer specific it would serve us perfectly. And hey, the price is WONDERFUL!  ",What I like most about using QBO Advanced is how user friendly and simplistic it is to use. We transitioned our entire financial management system and for the most part it was relatively smooth. ,"There were many obstacles to overcome in the transition to QBO Advanced. It mainly involve how to find work around solutions for areas not offered in QBO Advanced such as specifically detailed inventory management and also fixed assets. The inventory process in QBO is clunky and too simplistic for our company, BUT since QBO is so easy to use we have customized processes to make it work for us. "
Kevin Z.,Director Of Operations,"Hospitality, 1-10 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,I am currently learning how to better integrate my time keeping services with quick books and I am overall happy with the transisiton,"This Software is absolutely essential to my day to day operations.
From the ease of use in payroll services, tracking inventory, combining all purchase and financing accounts and creating invoices for all of my customers I could not be happier with Quickbooks.
What I really love is that software is always adapting and improving to help with more and more essential tasks, and if I don't know how something works there is always a Webinar/Customer service agent/video to give myself and my employees the tools they need to meet any accounting challenge.","The only two issues I have had is with compatibility with the payroll time clock services I would like to use, and this is more personal preference than anything else. I would like to see more options for bio metric time-clocking services than is currently available. the second is the saving of last used dates in the software meaning you have to be vigilant when making invoices or printing checks (I have lost a ton of checks this way)"
