Name,Role,Business Size,Validated,Source,Rating,Date,Title,What do you like best about Sage Intacct?,What do you dislike about Sage Intacct?,What problems is Sage Intacct solving and how is that benefiting you?
Gerald I.,Senior data analyst; Information Technology and Services,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-07-26,"""Top-tier tool for achieving financial precision in budgeting and planning""","Sage Intacct's real-time access to financial data is one of its most noteworthy features. Because we can quickly obtain current financial information, this has been essential when making important decisions. The software offers a great platform for developing financial controls and guaranteeing adherence to accounting rules.Customer service from Sage Intacct has been prompt in responding and providing valuable answers. Our team has benefited greatly from their expertise and desire to help. Review collected by and hosted on G2.com.","While most of the complex capabilities of the software are easy to use, mastering them has taken some effort.For busy professionals who must access financial data on the go, expanding the features of the mobile app would be advantageous.It might be advantageous to offer more adaptable price structures or packages that are designed for various business sizes. Review collected by and hosted on G2.com.","Having real-time access to financial data has given us the ability to act quickly on data-driven decisions, improving financial results. Our finance operations have changed substantially as a result of Sage Intacct. Our financial processes' manual and time-consuming nature is one of the key issues it has resolved. We have significantly decreased the time spent on data input and reconciliations because of Sage Intacct's automation capabilities, allowing us to concentrate on more critical financial responsibilities. Review collected by and hosted on G2.com."
Randy D.,,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,5.0,2023-07-26,"""Intacct - The very best mid-market accounting system on the market truly designed by accountants""","Intacct has many amazing features, but what I like most about Intacct, is that it is obvious that accountants were very involved in its creation as it handles real life debit and credit transactions the way they should be handled, and you never have to worry about intercompany being out of balance. It uses what Intacct calls demensional accounting, and with these dimensions properly thought out and set up, you can slice and dice the information anyway that you can think. If you are especially in a service industry, it is the very best. I have over 5,000 hours invested in this product working for 2 different organizations and was an administrator of this product for 3 years. Love it. Review collected by and hosted on G2.com.","They have a ways to go to be competitive in the warehouse distribution/inventory organizations. I feel they have improved this module and functionality over the years, but still need more improvements to truly compete with some of the other mid-market solutions that have been servicing that industry for a while. Review collected by and hosted on G2.com.","In my current position there are many different locations and entities in the organization, and the main benefit is the ease of keeping intercompany reconciled very easily across a very large organization with many different people involved in the process. Wthout Intacct, Intercompany reconciliation would be very difficult to keep balanced. Review collected by and hosted on G2.com."
Chelsi M.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-07-25,"""Excellent for a Large Business""",Everything is very Simple and cut and dry. I like that sage keeps our books very clean and allows processing to flow smoothly. Convenient reports for overview and The Dashboard Provides an overview of revenue and cash flow thats easy to look at for quick answers. Review collected by and hosted on G2.com.,"The only thing i would say is least helpful about Sage Intacct is that we receive a lot of payments that sometimes do not have the correct reference numbers on it. We then have to do research to figure out where that payment should go so it can be invoiced, if we cannot find the customer the payment cannot be posted as a negative balance/ over payment and that causes some delays in receiving payments. Review collected by and hosted on G2.com.","We used to scramble at month end to get a good forecast of what our local revenue would be, but with Sage Intacct we can see an overview on the dashboard live for better goal performance and review. Review collected by and hosted on G2.com."
Anwar T.,Director; Computer Software,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-07-24,"""Sage Intacct - A Powerful Cloud-Based Accounting Software for Growing Businesses""","Contract module has good functionality for subscription billing because we can send timely billing to all our customers.
This feature is beneficial for businesses with multiple locations or subsidiaries, as it allows them to manage financials for each entity separately while consolidating data for a comprehensive view.
Sage Intacct adheres to industry standards and security best practices to keep financial data safe and compliant with regulations.
The software is designed to be user-friendly, making it easier for accountants and finance professionals to navigate and work efficiently. Review collected by and hosted on G2.com.","Cost: it can be relatively expensive compared to some other accounting software options, especially for smaller businesses with limited budgets.
Support and customer service: the responsiveness and effectiveness of Sage Intacct's customer support, there are delays in getting assistance or issues adequately addressed.
Customization limitations: customization options may require more advanced technical expertise or coding knowledge. Review collected by and hosted on G2.com.","Streamlining Accounting Processes: Sage Intacct addresses the challenge of manual and time-consuming accounting processes. By automating tasks such as data entry, transaction processing, and reconciliation, the software saves significant time and reduces the risk of human errors.
Enhancing Financial Visibility: Many businesses struggle with gaining real-time insights into their financial performance. Sage Intacct provides customizable dashboards and reports, allowing users to access up-to-date financial data, analyze trends, and make informed decisions promptly.
Scalability for Growth: As businesses expand, their accounting needs become more complex. Sage Intacct is designed to accommodate growth, providing scalability that enables companies to manage increased transaction volumes, multiple entities, and evolving financial requirements.
Ensuring Compliance and Security: Compliance with financial regulations is crucial for businesses of all sizes. Sage Intacct follows industry standards and employs robust security measures to protect financial data, mitigating the risks associated with non-compliance and data breaches.
Facilitating Collaboration: With cloud-based accessibility, Sage Intacct facilitates collaboration among team members, regardless of their location. This aspect is particularly beneficial for businesses with remote or distributed teams.
Integrating Business Applications: Sage Intacct's integration capabilities allow it to connect with other essential business applications like CRM, payroll, or inventory management systems. This seamless integration ensures that data flows smoothly across various platforms, minimizing data silos and improving overall operational efficiency.
Improving Financial Decision-making: By providing accurate and timely financial information, Sage Intacct empowers businesses to make well-informed decisions, strategize effectively, and identify areas for cost optimization and revenue growth.
Reducing IT Infrastructure Overheads: As a cloud-based solution, Sage Intacct eliminates the need for businesses to maintain and manage their own IT infrastructure. This results in cost savings, as cloud-based software typically requires fewer hardware investments and less maintenance. Review collected by and hosted on G2.com."
Chris T.,Senior Financial Analyst,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.0,2023-06-22,"""Designed for technical flowthrough""","The reports and website feel modifiable and adjustable to individualize for the user and to the format and data to meet your requirements. You can change menu's, favorites, order of data, etc. And the reports can organized and created in the website interface without having to open a code-based platform to program. Review collected by and hosted on G2.com.","Some of the privileges are frustrating to work through. Gaining access to some data sets can be difficult. Meanwhile, restricting views from others is also inefficient. I don't want to see other users' personalized reports, and I don't want them to see mine. But when we inquired about this with Sage, they said they didn't have a current system to accommodate this. Review collected by and hosted on G2.com.","The software is under continual development. Sage is constantly rolling out progressed versions and software. If we have a personal request of feature we would like, Sage works directly with us to add or implement. Review collected by and hosted on G2.com."
Devon S.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-06-09,"""Clean, clear, concise.""","I love how easy it is to pick up from square one. Having been using QuickBooks before the change seemed daunting, but it was straightforward and easy to learn in under 3 months. The site is clean and easy to read. They are constantly rolling out updates to make the user experience more enjoyable. I am quite pleased with how easy the check deposits and AP invoices are. Review collected by and hosted on G2.com.","Least favorite thing is that there is no dark mode. For my disabilities, I function much better with a dark or dimmer system, and Intacct (as far as i am aware) is only sheet white, which gets draining on the eyes after 3-9 hours of use. I also do not see a text-to-speech option here for further accessibility. Review collected by and hosted on G2.com.",It has helped our company have a far clearer and more organized spot for all the AP and AR accounting. It has given us a way to better assure the correct payment is going to the correct place. I enjoy how easy it is to pick up and learn each new feature as well! Review collected by and hosted on G2.com.
Josh H.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-07-11,"""Intuitive and Easy to Use""",It was very easy to learn and simplified many of our reconciliation and AP/AR processes. The importing function was great for large entries. Reports are clean and easy to analyze periodic results. Review collected by and hosted on G2.com.,"We had difficulties with consistent bank transaction connections. Also, I wish you could copy/paste from an Excel table into a journal entry. If an AP transaction was accidentally entered for a future date, we could not edit it. Also, in the bank reconciliation process, if you have two or more GL entries that match against two or more bank transactions, you can't reconcile them against eachother. Review collected by and hosted on G2.com.","Sage Intacct simplified the AP approval process and added controls to ensure accurate billing. Also, we were able to acquire additional companies with ease and were able to maintain the same finance head count. Review collected by and hosted on G2.com."
ruben s.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-08-01,"""Easy to use for nonprofit""","We use this system for invoice entry and managing the expenses across various teams. Since we have multiple programs, we needed a software that could be used across the agency. Sage has been easy to learn, including invoice entry, approval processes and has been user friendly for our staff. Review collected by and hosted on G2.com.","My only dislike at this time is that it's not always easy for managers and approvers to search for specific data, however with some fine tuning we figure it out. Review collected by and hosted on G2.com.",Sage is allowing for all the managers who work in different areas of our business to use a system that allows us all to communicate appropriately. This allows for folks who work in different areas to work on the same system. Review collected by and hosted on G2.com.
Andrea H.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-06-12,"""Easy to learn-not the best for complicated entity structures""",Very easy to learn for new users-seems intuitive. Lots of good reports. I like the ability to create custom views and export to Microsoft Excel. Good audit trail. Review collected by and hosted on G2.com.,"Doesn't work as well for complicated entity structures. We are stuck with some less helpful entity structures that we couldn't change in the system. Apparently, it is not possible to change these past the initial setup. We also were not able to set up the consolidation module due to the initial setup. Review collected by and hosted on G2.com.",Complicated accounting for multiple locations and projects. Good audit trail to see who is responsible for specific entries. Good report-pulling capabilities. The downside is that pulling the report for all entities' trial balance YTD takes a really long time and we have not been able to implement the consolidation module that is available through Intacct due to the initial setup several years ago. Review collected by and hosted on G2.com.
Ina J.,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-07-18,"""All in one integrated system.""","We are a multi- entity organization. Real time insights across multi- entities are a “must”. Sage Premier provides an easy Bank reconciliation process. Reporting and Dashboards have awesome features. Also, we have streamlined payment processing. And another amazing module is the Integrated Fixed Assets. Review collected by and hosted on G2.com.","There are few things regarding the Bank reconciliation that makes the transactions import impossible directly from our bank account. Also, few things on the Fixed Asset module. Review collected by and hosted on G2.com.","We recently transitioned to AssetEdge (fixed assets). Implementation was somehow a smooth process. There are few things that need some improvements but overall, its an easy process. Reporting is great. It provides us with more clarity and flexibility when doing our analyses. The dashboard very friendly for other departments (not accounting), across the organization. Review collected by and hosted on G2.com."
