"Game","Month","Average Channels Rank","Average Channels Streaming","Average Monthly Viewers","Average Viewer Rank","Peack Channels Streaming","Peak Channels Rank","Peak Viewer Rank","Peak Viewership","Total Hours Streamed","Total Hours Watched"
"RuneScape","August 2015","32","88","4622","19","137","52","156","15888","65672","3434183"
"RuneScape","September 2015","32","82","4136","19","144","47","130","12657","59221","2974481"
"RuneScape","October 2015","28","82","4763","17","135","53","56","29029","61250","3539544"
"RuneScape","November 2015","29","81","7897","12","135","47","45","30881","58652","5678619"
"RuneScape","December 2015","29","92","5681","16","157","39","110","20610","68791","4221432"
"RuneScape","January 2016","30","100","6235","17","167","39","277","18809","74628","4632857"
"RuneScape","February 2016","32","103","5773","16","199","45","104","21428","71719","4012630"
"RuneScape","March 2016","31","101","7145","13","214","39","17","72411","75185","5309272"
"RuneScape","April 2016","26","104","7465","13","171","48","73","24109","74804","5367602"
"RuneScape","May 2016","28","111","8006","10","183","41","16","48463","83171","5948742"
"RuneScape","June 2016","28","108","8262","11","189","41","9","85177","77652","5940701"
"RuneScape","July 2016","28","98","7593","13","169","41","237","24483","73507","5641606"
"RuneScape","August 2016","30","94","6443","13","153","46","84","21214","70089","4787868"
"RuneScape","September 2016","31","92","4875","17","182","40","55","23262","66700","3505204"
"RuneScape","October 2016","31","94","5958","13","169","52","70","23514","69880","4426795"
"RuneScape","November 2016","33","100","8078","13","170","52","55","25677","72157","5808177"
"RuneScape","December 2016","31","106","7807","12","215","38","12","70300","79054","5800694"
"RuneScape","January 2017","31","124","9672","12","209","39","173","48173","92407","7186318"
"RuneScape","February 2017","31","123","6857","21","229","39","83","21663","82844","4601431"
"RuneScape","March 2017","36","121","8537","13","219","45","12","94782","90253","6343446"
"RuneScape","April 2017","28","125","6916","17","212","40","59","32124","90553","4973224"
"RuneScape","May 2017","31","127","6465","17","213","45","74","22774","94457","4803772"
"RuneScape","June 2017","30","125","9374","13","200","45","14","62246","90560","6740141"
"RuneScape","July 2017","33","130","6830","12","219","45","142","84990","97152","5074893"
"RuneScape","August 2017","33","119","6055","14","196","56","54","36338","88632","4499315"
"RuneScape","September 2017","29","125","7280","15","215","43","17","61019","90027","5234560"
"RuneScape","October 2017","30","127","5536","26","203","49","100","17962","95005","4113583"
"RuneScape","November 2017","32","124","5495","24","196","49","111","16300","89286","3951182"
"RuneScape","December 2017","29","140","6548","16","244","41","15","79031","104357","4865733"
"RuneScape","January 2018","31","162","6299","22","273","41","208","32178","120949","4680580"
"RuneScape","February 2018","31","162","6152","18","281","43","132","16167","109002","4128570"
"RuneScape","March 2018","31","160","7351","17","267","49","17","74563","119061","5461876"
"RuneScape","April 2018","31","152","5068","27","238","50","90","30442","109469","3644099"
"RuneScape","May 2018","26","154","6149","22","252","54","121","20452","114930","4569105"
"RuneScape","June 2018","33","155","9906","18","255","61","149","70446","112033","7122540"
"RuneScape","July 2018","35","138","5359","26","235","46","228","17396","102767","3981997"
"RuneScape","August 2018","74","57","612","121","134","97","466","5752","42648","455000"
"RuneScape","September 2018","78","50","642","124","112","101","429","6184","35972","462025"
"RuneScape","October 2018","85","43","655","124","83","137","370","7022","32460","486805"
"RuneScape","November 2018","92","43","521","149","102","123","500","5089","31402","375315"
"RuneScape","December 2018","97","43","556","158","85","134","243","16432","32362","413399"
"RuneScape","January 2019","95","52","898","118","94","135","500","7989","38720","667725"
"RuneScape","February 2019","88","52","911","109","134","105","500","5326","35224","611378"
"RuneScape","March 2019","99","48","773","117","94","138","415","6391","35950","574623"
"RuneScape","April 2019","105","46","1084","96","82","148","439","6333","33502","779747"
"RuneScape","May 2019","106","44","1009","102","80","166","353","10320","33305","749909"
"RuneScape","June 2019","114","41","692","135","87","154","419","9376","30146","497661"
"RuneScape","July 2019","112","40","838","101","93","114","425","9020","30301","622635"
"RuneScape","August 2019","104","40","1032","91","74","153","374","7613","29815","767038"
"RuneScape","September 2019","122","35","692","120","74","167","417","5848","25450","498148"
"RuneScape","October 2019","112","35","759","119","69","170","98","25174","26650","564174"
"RuneScape","November 2019","112","36","511","149","70","165","476","5515","26299","367465"
"RuneScape","December 2019","124","36","480","169","71","162","500","4314","27062","356648"
"RuneScape","January 2020","125","42","554","172","77","161","500","4661","31472","411969"
"RuneScape","February 2020","110","47","682","155","92","149","500","6472","32693","474167"
"RuneScape","March 2020","128","48","872","143","157","128","300","13200","35800","647906"
