Game,Month,Average Concurrent Viewers,Peak Concurrent Viewers,Average Concurrent Streams,Peak Concurrent Streams,Hours Watched
RuneScape,09/2023,572,3.0K,37,74,109K
RuneScape,08/2023,1.7K,14.0K,49,239,1.25M
RuneScape,07/2023,538,2.2K,36,70,398K
RuneScape,06/2023,510,4.2K,34,65,366K
RuneScape,05/2023,540,3.4K,35,70,401K
RuneScape,04/2023,672,3.1K,35,65,483K
RuneScape,03/2023,829,3.5K,35,70,610K
RuneScape,02/2023,780,6.2K,37,75,519K
RuneScape,01/2023,640,3.5K,39,79,473K
RuneScape,12/2022,530,10.6K,34,67,393K
RuneScape,11/2022,534,3.8K,34,77,384K
RuneScape,10/2022,706,3.5K,39,81,482K
RuneScape,09/2022,764,5.3K,41,126,545K
RuneScape,08/2022,806,5.9K,42,82,600K
RuneScape,07/2022,1.0K,10.2K,45,149,764K
RuneScape,06/2022,775,5.6K,42,75,558K
RuneScape,05/2022,1.0K,3.6K,42,91,762K
RuneScape,04/2022,1.3K,5.0K,42,73,926K
RuneScape,03/2022,712,4.0K,39,73,522K
RuneScape,02/2022,662,3.1K,48,94,440K
RuneScape,01/2022,739,2.2K,51,101,548K
RuneScape,12/2021,689,2.4K,50,93,511K
RuneScape,11/2021,752,5.3K,46,94,539K
RuneScape,10/2021,815,11.2K,45,84,604K
RuneScape,09/2021,1.3K,9.6K,55,100,909K
RuneScape,08/2021,980,7.9K,58,115,727K
RuneScape,07/2021,976,7.1K,55,115,723K
RuneScape,06/2021,1.1K,6.4K,61,110,785K
RuneScape,05/2021,1.6K,6.6K,66,123,1.19M
RuneScape,04/2021,2.2K,10.4K,68,126,1.59M
RuneScape,03/2021,2.6K,13.7K,69,117,1.93M
RuneScape,02/2021,1.8K,12.0K,72,129,1.20M
RuneScape,01/2021,1.1K,6.0K,70,127,788K
RuneScape,12/2020,1.0K,8.2K,64,120,744K
RuneScape,11/2020,928,7.7K,69,149,667K
RuneScape,10/2020,1.1K,20.2K,72,142,826K
RuneScape,09/2020,904,6.0K,57,101,650K
RuneScape,08/2020,925,8.6K,60,110,687K
RuneScape,07/2020,964,7.2K,58,103,716K
RuneScape,06/2020,843,5.8K,58,96,605K
RuneScape,05/2020,986,7.1K,64,138,729K
RuneScape,04/2020,1.6K,8.8K,60,105,1.13M
RuneScape,03/2020,871,13.3K,48,155,647K
RuneScape,02/2020,682,6.7K,47,92,473K
RuneScape,01/2020,552,4.7K,42,76,409K
RuneScape,12/2019,479,4.3K,36,71,355K
RuneScape,11/2019,512,5.5K,36,69,355K
RuneScape,10/2019,758,26.6K,36,71,543K
RuneScape,09/2019,693,5.8K,35,77,498K
RuneScape,08/2019,1.0K,8.0K,40,74,759K
RuneScape,07/2019,834,9.0K,41,92,617K
RuneScape,06/2019,686,7.8K,42,87,493K
RuneScape,05/2019,1.0K,10.0K,45,80,751K
RuneScape,04/2019,1.1K,8.3K,46,81,773K
RuneScape,03/2019,775,6.2K,48,94,573K
RuneScape,02/2019,914,5.8K,52,134,607K
RuneScape,01/2019,903,8.2K,52,94,668K
RuneScape,12/2018,555,17.5K,43,85,410K
RuneScape,11/2018,536,5.1K,45,99,386K
RuneScape,10/2018,652,5.9K,44,84,483K
RuneScape,09/2018,642,6.1K,50,113,460K
RuneScape,08/2018,609,5.8K,57,137,452K
RuneScape,07/2018,5.4K,16.5K,138,235,3.96M
RuneScape,06/2018,9.9K,81.0K,156,258,7.12M
RuneScape,05/2018,6.1K,20.5K,154,252,4.56M
