url_scraper,URL,Title,Author,Date
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/arafura-class-opvs-are-helicopter-capable-says-australian-dod,"Arafura-class OPVs are helicopter-capable, says Australian DoD",By Ridzwan Rahmat,25 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/new-naval-helicopter-planned-for-new-zealand,New naval helicopter planned for New Zealand,By Tim Fish,25 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/update-us-fifth-fleet-usv-transits-strait-of-hormuz-for-first-time,Update: US Fifth Fleet USV transits Strait of Hormuz for first time,By Kate Tringham,25 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/australian-defence-review-outlines-shift-to-strategy-of-denial,Australian defence review outlines shift to strategy of denial,By Julian Kerr,25 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/babcock-and-uk-mod-in-dispute-over-rising-costs-for-type-31-frigate-programme,Babcock and UK MoD in dispute over rising costs for Type 31 frigate programme,By Kate Tringham,24 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/gao-cites-schedule-uncertainty-for-uscg-polar-security-cutter-programme,GAO cites schedule uncertainty for USCG Polar Security Cutter programme,By Michael Fabey,21 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/us-fifth-fleet-usv-transits-strait-of-hormuz-for-first-time,US Fifth Fleet USV transits Strait of Hormuz for first time,By Kate Tringham,21 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/us-navy-fire-safety-processes-questioned,US Navy fire-safety processes questioned,By Michael Fabey,21 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/turkish-mir-usv-launches-torpedo-for-first-time,Turkish Mir USV launches torpedo for first time,By Cem Devrim Yaylali,21 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/south-korea-outlines-ktssm-ii-project,South Korea outlines KTSSM-II project,By Kapil Kajal,20 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/more-flight-testing-slated-for-pac-3-and-aegis,More flight-testing slated for PAC-3 and Aegis,By Michael Fabey,20 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/us-navy-shipbuilding-plan-reflects-need-for-significant-additional-investments-to-build-larger-force,US Navy shipbuilding plan reflects need for “significant additional” investments to build larger force,By Michael Fabey,19 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/indra-delivers-deployable-air-traffic-management-systems-to-raaf,Indra delivers deployable air traffic management systems to RAAF,By Oishee Majumdar,19 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/russian-navy-lada-class-submarine-sankt-peterburg-to-be-decommissioned-early,Russian Navy Lada-class submarine Sankt Peterburg to be decommissioned early,By Mike Plunkett,19 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/japan-south-korea-us-flex-bmd-capabilities-in-wake-of-pyongyangs-missile-test,"Japan, South Korea, US flex BMD capabilities in wake of Pyongyang's missile test",By Ridzwan Rahmat,19 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/uk-royal-navy-type-23-frigate-hms-montrose-decommissions,UK Royal Navy Type 23 frigate HMS Montrose decommissions,By Kate Tringham,19 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/browbeater-boats-taiwan-incursion-shows-chinas-propensity-for-carrierborne-intimidations,Browbeater boats: Taiwan incursion shows China's propensity for carrierborne intimidations,By Ridzwan Rahmat,19 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/navy-league-2023-us-navy-cites-progress-for-xluuv-programme,Navy League 2023: US Navy cites progress for XLUUV programme,By Michael Fabey,17 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/navy-league-2023-finlands-arctic-naval-expertise-cited-for-nato-operations,Navy League 2023: Finland's Arctic naval expertise cited for NATO operations,By Michael Fabey,17 April 2023
https://www.janes.com/sea-news-list,https://www.janes.com/defence-news/naval-weapons/latest/singapore-homeports-maritime-security-usvs-at-changi-naval-base,Singapore homeports maritime security USVs at Changi Naval Base,By Ridzwan Rahmat,14 April 2023
https://www.janes.com/air-news-list,https://www.janes.com/defence-news/air-platforms/latest/game-on-usaf-wargames-strengthening-indo-pacific-alliances,Game on: USAF wargames strengthening Indo-Pacific alliances,By Akhil Kadidal,25 April 2023
https://www.janes.com/air-news-list,https://www.janes.com/defence-news/air-platforms/latest/japan-recorded-higher-uav-presence-in-fy-2022-air-interceptions,Japan recorded higher UAV presence in FY 2022 air interceptions,By Akhil Kadidal,25 April 2023
https://www.janes.com/air-news-list,https://www.janes.com/defence-news/air-platforms/latest/integrating-effect-the-impact-of-maritime-air-power-in-australian-naval-operations,Integrating effect: The impact of maritime air power in Australian naval operations,By Dr. Lee Willett,25 April 2023
https://www.janes.com/air-news-list,https://www.janes.com/defence-news/air-platforms/latest/skydweller-uav-conducting-autonomous-flights-in-advance-of-experimental-operations,Skydweller UAV conducting autonomous flights in advance of experimental operations,By Zach Rosenberg,25 April 2023
https://www.janes.com/air-news-list,https://www.janes.com/defence-news/air-platforms/latest/australian-defence-review-outlines-shift-to-strategy-of-denial,Australian defence review outlines shift to strategy of denial,By Julian Kerr,25 April 2023
https://www.janes.com/air-news-list,https://www.janes.com/defence-news/air-platforms/latest/northrop-grumman-unveils-e-xx-tacamo-teammates,Northrop Grumman unveils E-XX TACAMO teammates,By Marc Selinger,24 April 2023
https://www.janes.com/air-news-list,https://www.janes.com/defence-news/air-platforms/latest/aero-flies-first-production-standard-l-39ng-light-attack-jet-trainer,Aero flies first production standard L-39NG light attack jet trainer,By Gareth Jennings,24 April 2023
