StoreName,ProductCategory,ProductSubcategory,ProductURL,ProductTitle,ProductBrand,ProductPrice
Kroger,Fresh Fruits & Vegetables,Fresh Fruit,https://www.kroger.com/p/pricklee-watr-sprfruit-prckly-pear-cs-of-12-12-fz/0075103502086?fulfillment=PICKUP,Pricklee - Watr Sprfruit Prckly Pear - CS of 12-12 FZ,Pricklee - Watr Sprfruit Prckly Pear - CS of 12-12 FZ,50.77
Kroger,Fresh Fruits & Vegetables,Fresh Cut Fruit & Vegetables,https://www.kroger.com/p/watermelon-half/0063912389463?fulfillment=PICKUP,Watermelon Half,Watermelon Half,8.99
Kroger,Natural & Organic,Organic Produce,https://www.kroger.com/p/organic-braeburn-apples/0000000094103?fulfillment=PICKUP,Organic Braeburn Apples,Organic Braeburn Apples,2.49
Kroger,Natural & Organic,Deli,https://www.kroger.com/p/frontera-foods-double-roasted-tomato-salsa-case-of-6/1060418313040?fulfillment=PICKUP,Frontera® Foods Double Roasted Tomato Salsa Case of 6,Frontera® Foods Double Roasted Tomato Salsa Case of 6,45.12
Kroger,Meat & Seafood,Pork & Ham,https://www.kroger.com/p/epic-strips-wagyu-beef-steak-case-of-20-8-oz-/0074615564396?fulfillment=PICKUP,Epic - Strips - Wagyu Beef Steak - Case of 20 - .8 oz.,Epic - Strips - Wagyu Beef Steak - Case of 20 - .8 oz.,56.12
Kroger,Fresh Fruits & Vegetables,Fresh Fruit,https://www.kroger.com/p/black-plumcots/0000000003611?fulfillment=PICKUP,Black Plumcots,Black Plumcots,0.89
Kroger,Meat & Seafood,Pork & Ham,https://www.kroger.com/p/4505-cracklins-chili-and-lime-case-of-12-3-oz-/0074615582987?fulfillment=PICKUP,4505 - Cracklins - Chili and Lime - Case of 12 - 3 oz.,4505 - Cracklins - Chili and Lime - Case of 12 - 3 oz.,64.74
Kroger,Meat & Seafood,Pork & Ham,https://www.kroger.com/p/epic-strips-wagyu-beef-steak-case-of-20-8-oz-/0074615564396?fulfillment=PICKUP,Epic - Strips - Wagyu Beef Steak - Case of 20 - .8 oz.,Epic - Strips - Wagyu Beef Steak - Case of 20 - .8 oz.,56.12
Kroger,Fresh Fruits & Vegetables,Fresh Vegetables,https://www.kroger.com/p/kroger-grape-tomatoes/0001111022800?fulfillment=PICKUP,Kroger Grape Tomatoes,Kroger Grape Tomatoes,6.99
Kroger,Meat & Seafood,Pork & Ham,https://www.kroger.com/p/bob-s-red-mill-texturized-vegetable-protein-gluten-free-case-of-4-12-oz/0074615583072?fulfillment=PICKUP,Bob's Red Mill - Texturized Vegetable Protein Gluten/free - Case of 4-12 OZ,Bob's Red Mill - Texturized Vegetable Protein Gluten/free - Case of 4-12 OZ,31.93
Kroger,Fresh Fruits & Vegetables,Fresh Juice & Smoothies,https://www.kroger.com/p/noka-superfoods-smthe-mgo-coconut-case-of-6-4-pack/0074615581276?fulfillment=PICKUP,Noka - Superfoods Smthe Mgo Coconut - Case of 6-4 PACK,Noka - Superfoods Smthe Mgo Coconut - Case of 6-4 PACK,66.02
Kroger,Meat & Seafood,Beef,https://www.kroger.com/p/epic-bites-venison-case-of-8-2-5-oz-/0074615564500?fulfillment=PICKUP,Epic - Bites - Venison - Case of 8 - 2.5 oz.,Epic - Bites - Venison - Case of 8 - 2.5 oz.,72.64
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/johnsonville-original-breakfast-sausage-links/0007778201841?fulfillment=PICKUP,Johnsonville Original Breakfast Sausage Links,Johnsonville Original Breakfast Sausage Links,0
Kroger,Pantry,Canned Foods,https://www.kroger.com/p/wild-planet-wild-albacore-tuna-fillets/0082969600055?fulfillment=PICKUP,Wild Planet Wild Albacore Tuna Fillets,Wild Planet Wild Albacore Tuna Fillets,5.82
Kroger,Fresh Fruits & Vegetables,Fresh Juice & Smoothies,https://www.kroger.com/p/serenity-kids-llc-pouch-sweet-pot-spinach-case-of-6-3-5-oz/1085000041102?fulfillment=PICKUP,Serenity Kids Llc - Pouch Sweet Pot Spinach - Case of 6 - 3.5 OZ,Serenity Kids Llc - Pouch Sweet Pot Spinach - Case of 6 - 3.5 OZ,29.99
Kroger,Pantry,Canned Foods,https://www.kroger.com/p/wild-planet-wild-skipjack-light-tuna/0082969600071?fulfillment=PICKUP,Wild Planet® Wild Skipjack Light Tuna,Wild Planet® Wild Skipjack Light Tuna,4.02
Kroger,Pantry,Canned Foods,https://www.kroger.com/p/wild-planet-albacore-tuna-with-no-salt/0082969600074?fulfillment=PICKUP,Wild Planet Albacore Tuna With No Salt,Wild Planet Albacore Tuna With No Salt,4.29
Kroger,Pantry,Canned Foods,https://www.kroger.com/p/wild-planet-pouched-albacore-tuna/0082969600073?fulfillment=PICKUP,Wild Planet Pouched Albacore Tuna,Wild Planet Pouched Albacore Tuna,4.19
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/villari-foods-applewood-smoked-thick-cut-bacon/0088458042033?fulfillment=PICKUP,Villari Foods Applewood Smoked Thick Cut Bacon,Villari Foods Applewood Smoked Thick Cut Bacon,9.99
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/villari-foods-hickory-hardwood-smoked-thick-cut-bacon/0088458042032?fulfillment=PICKUP,Villari Foods Hickory Hardwood Smoked Thick Cut Bacon,Villari Foods Hickory Hardwood Smoked Thick Cut Bacon,9.99
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/johnsonville-maple-flavor-sausage-strips/0007778267907?fulfillment=PICKUP,Johnsonville® Maple Flavor Sausage Strips,Johnsonville® Maple Flavor Sausage Strips,3.17
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/holmes-smokehouse-hickory-smoked-thick-sliced-premium-bacon/0065648800735?fulfillment=PICKUP,Holmes Smokehouse Hickory Smoked Thick Sliced Premium Bacon,Holmes Smokehouse Hickory Smoked Thick Sliced Premium Bacon,10.49
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/hormel-real-crumbled-bacon-bits/0003760027329?fulfillment=PICKUP,Hormel Real Crumbled Bacon Bits,Hormel Real Crumbled Bacon Bits,13.99
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/eddy-premium-blend-texas-pork-and-beef-rope-sausage/0007077300555?fulfillment=PICKUP,Eddy Premium Blend Texas Pork and Beef Rope Sausage,Eddy Premium Blend Texas Pork and Beef Rope Sausage,7.99
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/blue-ribbon-hickory-smoked-bacon/0007013300427?fulfillment=PICKUP,Blue Ribbon Hickory Smoked Bacon,Blue Ribbon Hickory Smoked Bacon,5.49
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/owens-original-pork-sausage-links/0007011005864?fulfillment=PICKUP,Owens® Original Pork Sausage Links,Owens® Original Pork Sausage Links,3.5
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/hormel-black-label-chorizo-egg-bites/0003760088449?fulfillment=PICKUP,Hormel® Black Label® Chorizo Egg Bites,Hormel® Black Label® Chorizo Egg Bites,3.49
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/blue-ribbon-thick-sliced-hickory-smoked-bacon/0007013300325?fulfillment=PICKUP,Blue Ribbon Thick Sliced Hickory Smoked Bacon,Blue Ribbon Thick Sliced Hickory Smoked Bacon,14.99
Kroger,Meat & Seafood,Pork & Ham,https://www.kroger.com/p/field-trip-stick-original-case-of-24-1-oz-/0074615564400?fulfillment=PICKUP,Field Trip Stick - Original - Case of 24 - 1 oz.,Field Trip Stick - Original - Case of 24 - 1 oz.,57
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/oscar-mayer-natural-fully-cooked-bacon/0004470010230?fulfillment=PICKUP,Oscar Mayer Natural Fully Cooked Bacon,Oscar Mayer Natural Fully Cooked Bacon,8.49
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/johnsonville-cooked-bold-spicy-pork-breakfast-sausage-links/0007778268086?fulfillment=PICKUP,Johnsonville® Cooked Bold & Spicy Pork Breakfast Sausage Links,Johnsonville® Cooked Bold & Spicy Pork Breakfast Sausage Links,3.99
Kroger,Meat & Seafood,Specialty Meat,https://www.kroger.com/p/force-of-nature-venison-and-beef-sausage/0085000694370?fulfillment=PICKUP,Force of Nature Venison and Beef Sausage,Force of Nature Venison and Beef Sausage,12.99
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/three-bridges-country-style-sausage-egg-bites/0074275334727?fulfillment=PICKUP,Three Bridges Country Style Sausage Egg Bites,Three Bridges Country Style Sausage Egg Bites,4.99
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/hormel-black-label-ham-bell-peppers-3-cheeses-oven-baked-egg-bites/0003760016774?fulfillment=PICKUP,Hormel™ Black Label™ Ham Bell Peppers & 3 Cheeses Oven-Baked Egg Bites,Hormel™ Black Label™ Ham Bell Peppers & 3 Cheeses Oven-Baked Egg Bites,3.49
Kroger,Pantry,Canned Foods,https://www.kroger.com/p/wild-planet-wild-albacore-tuna/0082969600057?fulfillment=PICKUP,Wild Planet Wild Albacore Tuna,Wild Planet Wild Albacore Tuna,4.19
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/murray-s-sliced-speck/0081794401166?fulfillment=PICKUP,Murray's Sliced Speck,Murray's Sliced Speck,9.99
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/owens-original-sausage-patty/0007011005887?fulfillment=PICKUP,Owens® Original Sausage Patty,Owens® Original Sausage Patty,3.5
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/johnsonville-cooked-country-pork-breakfast-sausage-links/0007778268083?fulfillment=PICKUP,Johnsonville® Cooked Country Pork Breakfast Sausage Links,Johnsonville® Cooked Country Pork Breakfast Sausage Links,3.99
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/johnsonville-fully-cooked-original-breakfast-sausage-links/0007778203057?fulfillment=PICKUP,Johnsonville Fully Cooked Original Breakfast Sausage Links,Johnsonville Fully Cooked Original Breakfast Sausage Links,0
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/oscar-mayer-original-fully-cooked-bacon-mega-pack/0004470006841?fulfillment=PICKUP,Oscar Mayer Original Fully Cooked Bacon Mega Pack,Oscar Mayer Original Fully Cooked Bacon Mega Pack,12.99
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/three-bridges-mushroom-asiago-egg-bites/0074275334725?fulfillment=PICKUP,Three Bridges™ Mushroom & Asiago Egg Bites,Three Bridges™ Mushroom & Asiago Egg Bites,4.99
Kroger,Meat & Seafood,Bacon & Breakfast Sausage,https://www.kroger.com/p/oscar-mayer-original-fully-cooked-bacon/0004470006647?fulfillment=PICKUP,Oscar Mayer Original Fully Cooked Bacon,Oscar Mayer Original Fully Cooked Bacon,4
