ProductURL,MainCategory,Brand,BrandTotalProducts,ProductCategory,ProductSubCategory,ProductSubsubCategory,ProductName,ProductPrice
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/mini/bead-embellished-pleated-crepe-mini-skirt/1647597303556814,Clothing,Brunello Cucinelli,207 Results,Clothing,Skirts,Mini Skirts,Bead-embellished pleated crepe mini skirt,1650
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/v-neck/argyle-sequin-embellished-wool-cashmere-and-silk-blend-cropped-top/1647597295028912,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,"Argyle sequin-embellished wool, cashmere and silk-blend cropped top",1995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/t-shirts/embellished-stretch-cotton-jersey-t-shirt/1647597303765935,Clothing,Brunello Cucinelli,207 Results,Clothing,Tops,T-Shirts,Embellished stretch-cotton jersey T-shirt,1350
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/round-neck/cable-knit-cashmere-sweater/1647597295028950,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Cable-knit cashmere sweater,4800
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/casual-jackets/suede-jacket/1647597303765926,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,Suede jacket,8695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/loafers/bead-embellished-suede-loafers/1647597298387793,Shoes,Brunello Cucinelli,207 Results,Shoes,Flat Shoes,Loafers,Bead-embellished suede loafers,1250
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/short-and-mini/sequin-embellished-cotton-blend-shorts/1647597303558026,Clothing,Brunello Cucinelli,207 Results,Clothing,Shorts,N/A,Sequin-embellished cotton-blend shorts,2495
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/round-neck/cropped-open-knit-cotton-vest/1647597303567944,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Cropped open-knit cotton vest,1395
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/tapered/pleated-linen-tapered-pants/1647597303567670,Clothing,Brunello Cucinelli,207 Results,Clothing,Pants,Tapered,Pleated linen tapered pants,1995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/lifestyle/tableware/set-of-three-stone-plates/1647597303756381,Home,Brunello Cucinelli,207 Results,Home,Tableware,N/A,Set of three stone plates,2295
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/blouses/bead-embellished-striped-duchesse-satin-top/1647597303765908,Clothing,Brunello Cucinelli,207 Results,Clothing,Tops,Blouses,Bead-embellished striped duchesse-satin top,2695
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/casual-jackets/hooded-quilted-wool-flannel-jacket/1647597295028916,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,Hooded quilted wool-flannel jacket,5395
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/midi/cotton-poplin-midi-skirt/1647597303567866,Clothing,Brunello Cucinelli,207 Results,Clothing,Skirts,Midi Skirts,Cotton-poplin midi skirt,1995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/midi-dresses/belted-shell-midi-dress/1647597303556700,Clothing,Brunello Cucinelli,207 Results,Clothing,Dresses,Midi Dresses,Belted shell midi dress,2995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/flat/bead-embellished-suede-wedge-mules/1647597298390314,Shoes,Brunello Cucinelli,207 Results,Shoes,Sandals,Embellished,Bead-embellished suede wedge mules,995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/round-neck/bead-embellished-ribbed-cotton-sweater/1647597303765887,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Bead-embellished ribbed cotton sweater,2895
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/collectables/set-of-two-glazed-ceramic-plates/1647597288658704,Home,Brunello Cucinelli,207 Results,Home,Decorative Objects,N/A,Set of two glazed ceramic plates,420
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/short-and-mini/pleated-linen-shorts/1647597303765921,Clothing,Brunello Cucinelli,207 Results,Clothing,Shorts,N/A,Pleated linen shorts,1395
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/wide-leg/cotton-blend-corduroy-wide-leg-pants/1647597295028908,Clothing,Brunello Cucinelli,207 Results,Clothing,Pants,Wide Leg,Cotton-blend corduroy wide-leg pants,1495
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/t-shirts/stretch-wool-jersey-t-shirt/1647597295028918,Clothing,Brunello Cucinelli,207 Results,Clothing,Tops,T-Shirts,Stretch-wool jersey T-shirt,1250
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/v-neck/cropped-ribbed-jersey-vest/1647597295028914,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,Cropped ribbed jersey vest,1425
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/collectables/walnut-wood-leather-and-cork-tamburello-set/29419655932738156,Home,Brunello Cucinelli,207 Results,Home,Decorative Objects,N/A,"Walnut wood, leather and cork tamburello set",1830
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/lifestyle/tableware/set-of-two-bead-embellished-linen-placemats/29419655932738134,Home,Brunello Cucinelli,207 Results,Home,Tableware,N/A,Set of two bead-embellished linen placemats,520
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/shoes/flat/bead-embellished-suede-slides/1647597306847454,Shoes,Brunello Cucinelli,207 Results,Shoes,Sandals,Embellished,Bead-embellished suede slides,995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/turtleneck/ribbed-wool-cashmere-and-silk-blend-turtleneck-sweater/1647597295028930,Clothing,Brunello Cucinelli,207 Results,Clothing,Knitwear,Sweater,"Ribbed wool, cashmere and silk-blend turtleneck sweater",2995
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/lifestyle/decorative-objects/frayed-linen-placemats/1647597288658701,Home,Brunello Cucinelli,207 Results,Home,Tableware,N/A,Frayed linen placemats,375
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/midi/stretch-wool-jersey-midi-skirt/1647597295028942,Clothing,Brunello Cucinelli,207 Results,Clothing,Skirts,Midi Skirts,Stretch-wool jersey midi skirt,1550
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/blazers/double-breasted-linen-cotton-and-lyocell-blend-corduroy-blazer/43769801095728053,Clothing,Brunello Cucinelli,207 Results,Clothing,Jackets,N/A,"Double-breasted linen, cotton and Lyocell-blend corduroy blazer",5495
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/throws/ribbed-cashmere-blanket/29419655932738142,Home,Brunello Cucinelli,207 Results,Home,Throws and Cushions,N/A,Ribbed cashmere blanket,4500
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/travel/leather-trimmed-cotton-and-linen-blend-canvas-shoe-cube/1647597303756392,Accessories,Brunello Cucinelli,207 Results,Accessories,Travel,N/A,Leather-trimmed cotton and linen-blend canvas shoe cube,875
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/lifestyle/decorative-objects/set-of-two-horn-napkin-holders/1647597288658697,Home,Brunello Cucinelli,207 Results,Home,Tableware,N/A,Set of two horn napkin holders,595
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/clothing/wide-leg/cotton-jersey-wide-leg-pants/1647597295028958,Clothing,Brunello Cucinelli,207 Results,Clothing,Pants,Wide Leg,Cotton-jersey wide-leg pants,1550
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/lifestyle/decorative-objects/set-of-two-horn-and-suede-coasters/1647597288658700,Home,Brunello Cucinelli,207 Results,Home,Tableware,N/A,Set of two horn and suede coasters,595
https://www.net-a-porter.com/en-us/shop/product/brunello-cucinelli/accessories/collectables/leather-trimmed-wood-skittles-set/29419655932738136,Home,Brunello Cucinelli,207 Results,Home,Decorative Objects,N/A,Leather-trimmed wood skittles set,2850
