Product,Price,Name,Rating,Age,Gender,SkinConcerns,SkinType,Quality,Effectiveness,Tile,Review,# Helpfull,# Unhelpfull,Date
Moisturizing Renewal Day Cream,195,Vladislav K.,5,45-54,Male,"Fine Lines & Wrinkles, Hydration, Radiance",Normal,5,5, Excellent product!!! , Excellent product!!! ,0,0,7/17/2023
Moisturizing Renewal Day Cream,195,Leah L.,5,65+,Female,"Firming & Volume Loss, Hydration, Radiance, Fine Lines & Wrinkles",Dry,5,3, It’s ok. Good that it , It’s ok. Good that it has sinscreen ,0,0,7/17/2023
Moisturizing Renewal Day Cream,195,Laura B.,5,65+,Female,"Hydration, Fine Lines & Wrinkles, Firming & Volume Loss, Dark Circles and Puffiness",Combination,,5," To be honest, I love "," To be honest, I love everything about RéVive products. Use them all. Fell in love with the moisturizer years ago. Started saving just to buy and try each product. ",1,0,7/17/2023
Moisturizing Renewal Day Cream,195,Jan C.,5,65+,Female,"Hydration, Firming & Volume Loss, Fine Lines & Wrinkles",Normal,5,5, Daily go to , This is my go to for every day moisturizing. As with the night cream of same does everything with that added SPF ,0,0,7/17/2023
Moisturizing Renewal Day Cream,195,Susmita T.,4,65+,Female,"Dark Circles and Puffiness, Hydration",Dry,4,4, A good day cream with spf , A good day cream with spf but it’s very drying on my mature skin ,0,0,7/17/2023
Moisturizing Renewal Day Cream,195,Peggie M.,5,65+,Female,Hydration,Combination,5,2, Had only used ReVive neck ," Had only used ReVive neck cream (a jar that has lasted 10 years!, so decided to try ReVive Moisturizing Renewal and am pleased, although I do not expect miracles at 87 years old and counting! ",2,0,11/13/2022
Moisturizing Renewal Day Cream,195,Ilene W.,5,55-64,Female,"Dark Circles and Puffiness, Hydration, Fine Lines & Wrinkles, Firming & Volume Loss, Uneven Skin Tone","Dry, Normal",5,5, Not heavy on my skin ," I received my sample in early July, found this day moisturizer with SPF30 to absorb quickly, it is not heavy or greasy and protects my face from the bright Sun of Florida in summer. I would Highly recommend this to Anyone who needs both moisturizing and Sun protection. ",1,0,11/13/2022
Peau Magnifique Serum,750,Sandy H.,5,65+,Female,"Firming & Volume Loss, Dark Circles and Puffiness, Radiance, Fine Lines & Wrinkles, Hydration, Uneven Skin Tone",Dry,5,5, Makes skin feel very soft , Makes skin feel very soft ,0,2,2/1/2023
Intensité Volumizing Serum Ultime,600,Linda M.,5,65+,Female,"Fine Lines & Wrinkles, Firming & Volume Loss, Hydration","Dry, Normal",5,5, I’ve used this for a , I’ve used this for a number of years and notice that my skin appears plumper ,0,0,4/27/2023
Masque Des Yeux,28,Susan K.,5,65+,Female,"Fine Lines & Wrinkles, Firming & Volume Loss, Uneven Skin Tone",Combination,5,5, Masque Des Yeux , Great eye treatment product. Love it! ,0,0,6/23/2023
