URL,Product Name,Price,Overall Rating,Overall # of Reviews,User,Location,# of User Reviews,User Rating,Rating Title,Rating Description,Sizing
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Rosa Laced Mini Dress,$278.00,5,1,Leanne14,Ohio,16,5,Zimmermann Sale,"I LOVE the Rosa collection and now own several items.  However, it always amazes me how much the price drops- if you wait, you risk losing out on your size, but I always wait.  I actually paid less for this elsewhere.  That being said- this is lovely and feminine.  The linen is beautiful as are all the details.  Zimmermann really does lovely pieces.  TTS.  I find Zimmermann runs a tad small. I would normally be a 0P or OO but order a 0.  Fits perfectly no matter the item.  Sizing consistency is worth paying a little extra IMO.",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Postcard Crochet Hat,$112.20,5,1,I_WEAR_PRADA,washington DC,30,5,Absolutely adorable!,"This hat is so practical and goes with any summer style. I missed it at My Theresa, where it was sold out in a day, for more money. So glad I found it here! It's light, packable and super stylish.  ",Larger than Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Postcard Mini Dress,$358.00,3,1,mrf795,United States,1,3,Was sent the wrong size :(,"This dress is gorgeous! I ordered it in a size 1 (4-6), then re-ordered it in a size 2 (6-8), and it arrived in a bag labeled size 2 but the dress was tagged size 3 which unfortunately was too big. Super bummed because I wanted this for a vacation. I typically wear a size 6, denim 28. The 1 fit good in the shoulders, but was snug around the hips, was hoping for a slightly looser fit w/ the 2 because the dress has no stretch. ",
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Rosa Plunge Bow Mini Dress,$486.50,5,1,H.Chi,CA,1,5,So cute!,"Ugh, I wish this worked out for me! My usual size was sold out, but I ordered the smaller size anyway, hoping it would run a little big - def not the case haha. It runs true to size. I have no boobs and no hips, but this gives you such a good shape! Hopefully the next size up restocks in time to wear it to my beachy engagement shoot. It's truly a flattering dress!! 

**For those with larger chests, I don't think this would give you much support. ",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Silk Wrap Midi Dress,$630.00,2,2,kfenn,California,1,1,Hard to care for fabric...,"I received this $600+ dress in a 9x12"" plastic bag - folded and wrinkled. I wanted to love this dress, but had to return it because of the ""how to care for"" instructions. Very delicate fabric.",
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Silk Wrap Midi Dress,$630.00,2,2,Milrockee,"Brooklyn, NY",143,3,Zimmermann Silk Wrap Dress,"Meh, fit wasn't that flattering and the silk crepe felt and looked almost velveteen. ",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Estelle Billow Mini Dress,$315.00,3,1,MA_NA,"Toronto, Canada",13,3,Larger than expected,"I ordered this dress in a 0, my usual Zimmerman size, but it was far too large and overpowered my short frame (5'2). Unfortunately the 00 is sold out, so I will be returning.",Larger than Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Silk Wrap Mini Dress,$416.50,5,1,ashloo,los angeles,1,5,love this dress!,"I've been eyeing this Zimmerman dress for ages & when the lavender color popped up on the website, I had to bite the bullet. The dress is gorgeous and luxurious, so smooth and soft on the skin -- it's almost like wearing a bath robe out, lol. Do take note that if you are large-chested like me, this dress is on the more revealing side because of the plunge neckline & wrap! 

I am 5'6"" and v curvy, but the mini skirt was not too short on me like so many other dresses are. I was actually really comfortable in it.  I got a 1 and usually wear sizes 4-6.",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Silk Cowl Blouse,$225.00,5,1,Romana,Chicago ,338,5,As per Zimmerman...,"Statement blouse that can be dressed up or down. It is very flattering on, even with the bellowed sleeves (which I normally avoid). Its beautiful, soft petal pink color complements every skin tone, and it has an elegant fit. ",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Brightside Wrap Midi Dress,$480.00,2,1,Romana,Chicago ,338,2,Casual pretty,"I loved the print and silk material, but the sizing was off (not unusual with Zimmermann). Bought it in two sizes (0, 1), and the chest cavity wouldn't even fit in the top portion. The waist/hip area was right, but the chest area was extremely small (not even flat-chested women could fit in it, I'm sure). ",Smaller than Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Reversible Linen Bucket Hat,$85.00,5,1,belaissima,Santa Barbara ,7,5,Not a bucket hat person but I am now.,"This hat is stellar. Its reversible which is a huge plus to switch from the fun print to the simple camel linen color. It goes with everything and is super flattering. It fits great and is very durable (was great for a beach day, and also perfect for a long mountain hike). My boyfriend steal this hat from time to time because it's so good. Everyone loves it! ",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Silk Wrap Mini Dress,$357.00,5,1,Romana,Chicago ,338,5,Pretty in pink and blue,"This is such a beautiful cornflower-colored summer dress. I am a size 1 in Zimmerman (the line does run small), but bought this in size 2 in cornflower (as it was the only size left, and I figured it could work bc it's a wrap dress), and size 0 in the magenta (that, too, was all that was left). Both fit elegantly, and the colors and material are beautiful. They look great with both flat sandals and heels. I wish shop bop had it available in the dark blue color (stunning).",Smaller than Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Strap Sandals,$135.00,2,1,SaraSeattle777,Seattle,21,2,"Boxy, wide sandals ",These sandals were not very cute.,Larger than Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Bellitude Midi Dress,$128.00,4,1,Insider,"New York, NY  ",98,4,so pretty,This dresses is so pretty and perfect! I'm giving it 4 stars because it's snug on me at the bust (I'm a DD). ,Smaller than Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=0,Strap Sandals,$90.00,5,1,Milly Milly,Taiwan,8,5,SO comfortable,"I'm so happy i got these on sale! 'Cos they are definately my new favorite! Very well made & comfortable to walk in because the leather is so soft, no funny smell. It's easy to wear for a night out or casual day out. I'm usually 6.5 US, and 37 EU was perfect in these!",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=15,Freja Embroidered High Waist Shorts,$187.50,5,1,alexxandra,"San Francisco, CA ",23,5,IN LOVE,"Obsessed with these shorts- they are true to size, and a very flattering fit. Can't wait to wear!",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=15,Peggy Multi Short Dress,$477.00,5,1,ZimmermannIsBae,FL,4,5,Beautiful Embroidery & Workmanship,"Loved this dress. I am transitioning in sizes at the moment (lol), so I tried sizes 0 & 1. Being petite (5'1'') with a short, smaller torso & ever-widening, disproportionate hips...the size 0 fit my upper perfectly. However, due to some health/tummy issues that I have going on, the bottom was so well tailored that it accentuated my immaculately conceived (lol) faux baby bump. This also made the dress length shorter on me, perhaps 4"" above my knees. Meanwhile , the size 1 fit my lower region comfortably, having a lengthening effect so that it fell past my knees. However, the size 1 was completely drowning out my upper & waist, too oversized. I considered having the size 1 tailored via my Nordstrom CC perks. Ultimately, unsure of how long this global pandemic will have businesses closed(especially close-proximity services such as tailoring), I was too afraid to risk it with the cost & the limited return window. sad face emoji. I totally recommend this dress to anyone, nevertheless.",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=15,Bonita Button Through Romper,$159.00,5,1,ZimmermannIsBae,FL,4,5,Quintessential Zimmermann Floral Romper,"Beautiful print with gorgeous, warm florals (exactly as photo). 

Sizing: Seems pretty generous, but closer to true-to-size. Perfect for petite, pear shapes. (Reference: I am 5'1'' with a 30DD upper, short torso, very distended abdomen (health issues), & newly disproportionately bodacious hips.)

Fabric tailoring is simple & perfect, as the comfortable, lightweight fabric somehow effortlessly shapes your waistline. The bottom obviously flares out, to accommodate your lower & is quite ample & voluminous. 

Length: It is quite short, as expected perhaps, even on my short frame. I would recommend wearing some spandex, short boy shorts underneath to avert any wardrobe malfunctions.

Value: In my honest opinion, in spite of this romper being beautiful, flattering, & a perfect sampling of the Zimmermann design house, it does seem somewhat overpriced. It is unlined; the lightweight fabric is somewhat see-thru (although the floral print helps to conceal) & seems insubstantial.
",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=15,Ninety Six Pleated Slip Dress,$347.50,5,1,marns89,"NYC,NY",184,5,Prettiest printed dress,"Zimmermann dresses are the BEST. This dress runs true to size, but is a little full on the bottom- if you're curvy or have hips/a butt, this is a great dress for you! If you're more narrow, I'd size down. I wear an 8 typically and ordered this in a size 2- perfect fit. Sometimes in their more narrow or fitted dresses I need a 3, but the 2 here was perfect. Great weight for Spring/Summer weddings. ",Larger than Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=15,Swallow Ring,$84.00,4,1,perle36,"Switzerland, Zurich",104,4,Nice ring,"Wanted to give it as a gift, ended up keeping it for myself.",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=15,Turkish Towel,$37.00,5,1,Amal Vulpe,Qatar,95,5,A big towel ,"Love this towel is definitely a piece of art I was eyeing to buy it for a while and now its on sale it was time , am happy to own this towel my only issue the white part is not white is more to the pink and looks like the dying colours leaked on the white part but it still good looking towel and very light . ",
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=15,Bayou Flare Dress,$223.50,5,1,Ilinamarina,"Surgut, Russia",2,5,Lovely,"Beautiful dress! Coloring, fabric, style - all very gentle, feminine. The size of the 1 me licked usually I take 6",True to Size / As Expected
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=15,Rainbow Trainers,$105.00,5,1,Lefty 1953,Harrison tn,1,5,Love These Sneakers,I wear a size 8. I did see where it was noted that these sneakers run slightly small. The size 38 fit as well as my other sneakers. I am very pleased with these sneakers and love the blue colors. Something different and unique.,
https://www.shopbop.com/reviews/brand?folderID=5090&baseIndex=15,Cowl Tank,$206.50,5,1,Romana,Chicago ,338,5,Elegant,"Beautiful fit, color, and style. Super comfortable top, but with a polished, structured look.",True to Size / As Expected
