ID,URL,TRUE_DOMAIN,RESPONSIVE,HEADER,NAV,LINK_IN,LINK_OUT,EMAIL,SOCIAL,H1,H2,H3,H4,H5,H6,Status
0011K00002EPvwQ,http://hmwcinc.com/,True,True,10,1,28,0,0,5,1,2,6,1,0,1,Real
0011K00002d9IoW,http://drkillhair.com/,True,False,0,0,1,0,0,0,0,0,0,0,0,0,None-Responsive
011K110110111234,https://www.zaramedicalaesthetics.com/,False,True,3,0,2,0,0,0,1,0,2,0,0,1,Filler Page
0011K00002dAvNu,https://www.midohioaesthetics.com/,True,True,3,0,76,0,0,3,1,2,0,0,0,1,Real
0011K00002dAvO1,http://prpyoung.com/,True,True,5,1,49,0,4,1,0,0,4,1,0,0,Real
0011K00002dAvO5,https://simplyaestheticsnj.com/,True,True,18,2,133,0,2,11,1,6,2,9,0,1,Real
0011K00002dAvOA,https://www.vipmedspa.ca/,True,True,10,2,122,0,1,3,1,5,0,4,0,1,Real
0011K00002dAvMF,https://www.serenitymedicalwellness.com/,True,True,24,2,132,0,2,4,0,8,16,0,0,0,Real
0011K00002dAvMJ,https://www.summitmedaesthetics.com/,True,True,18,2,91,0,3,9,1,6,10,1,0,1,Real
0011K00002dAvML,https://www.theozonedstudio.com/,True,True,4,1,18,0,3,0,1,2,0,0,1,1,Real
0011K00002dAvL0,https://www.novamedspa.org/,True,True,25,1,54,0,0,2,3,9,6,0,3,3,Real
0011K00002dAvLO,https://www.lift-medical.com/,True,True,8,6,49,0,1,2,2,2,4,0,0,2,Real
0011K00002dAvJc,https://medispabodyshop.com/,True,True,20,1,33,0,1,2,8,12,0,0,0,8,Real
0011K00002dAvJe,https://reinventmetoday.com/,True,True,24,4,45,0,1,7,2,10,12,0,0,2,Real
0011K00002dAvHm,https://www.713botoxme.com/,True,True,13,3,56,0,2,3,0,5,2,0,0,0,Real
0011K00002dAvHr,https://beautifulumedspa.com/,True,True,16,0,145,0,0,4,2,7,1,6,0,2,Real
0011K00002dAvHW,https://houseofpreservation.com/,True,True,14,2,52,0,0,4,1,10,3,0,0,1,Real
0011K00002dAvHY,https://seamistmedspa.com/,True,True,13,5,441,0,0,17,1,3,6,3,0,1,Real
