Country,URL,Name,Company URL,Business Focus,Rating
Austria,https://thebanks.eu/list-of-emis/Austria,Bitpanda Payments GmbH,https://thebanks.eu/emis/bitpanda-payments-355307,crypto-friendly e-wallets,4.10
Belgium,https://thebanks.eu/list-of-emis/Belgium,Fimaser,https://thebanks.eu/emis/fimaser-354918,payment cards Visa and loans for Carrefour customers,2.94
Belgium,https://thebanks.eu/list-of-emis/Belgium,Imagor,https://thebanks.eu/emis/imagor-354919,issuing payment cards for XXImo,internal entity
Belgium,https://thebanks.eu/list-of-emis/Belgium,Paynovate SA,https://thebanks.eu/emis/paynovate-354917,digital payment solutions,3.70
Belgium,https://thebanks.eu/list-of-emis/Belgium,PPS EU SA,https://thebanks.eu/emis/pps-eu-354916,digital banking infrastructure services,3.44
Belgium,https://thebanks.eu/list-of-emis/Belgium,Worldline Financial Solutions NV SA,https://thebanks.eu/emis/worldline-financial-solutions-354921,payment solutions for e-commerce,2.39
Bulgaria,https://thebanks.eu/list-of-emis/Bulgaria,Transact Europe EAD,https://thebanks.eu/emis/transact-europe-354680,payment processing solutions,3.37
Bulgaria,https://thebanks.eu/list-of-emis/Bulgaria,Easy Payment Services OOD,https://thebanks.eu/emis/easy-payment-services-354882,issuing payment cards,3.03
Bulgaria,https://thebanks.eu/list-of-emis/Bulgaria,EasyPay AD,https://thebanks.eu/emis/easypay-354923,providing payment services,3.37
Bulgaria,https://thebanks.eu/list-of-emis/Bulgaria,Econt Financial Services EOOD,https://thebanks.eu/emis/econt-financial-services-355237,payment acceptance and processing,internal entity
Bulgaria,https://thebanks.eu/list-of-emis/Bulgaria,iCard AD,https://thebanks.eu/emis/icard-354678,innovative payment solutions,3.95
Bulgaria,https://thebanks.eu/list-of-emis/Bulgaria,MyFin EAD,https://thebanks.eu/emis/myfin-355108,providing IBAN accounts and payment cards,3.33
Bulgaria,https://thebanks.eu/list-of-emis/Bulgaria,Tenen Payments AD,https://thebanks.eu/emis/tenen-payments-355218,white-label digital wallets,None
Croatia,https://thebanks.eu/list-of-emis/Croatia,Aircash d.o.o.,https://thebanks.eu/emis/aircash-355001,providing m-wallets and cards,3.30
Croatia,https://thebanks.eu/list-of-emis/Croatia,Erste Card Club d.o.o.,https://thebanks.eu/emis/erste-card-club-355003,providing payment cards,3.07
Croatia,https://thebanks.eu/list-of-emis/Croatia,Hrvatski Telekom d.d.,https://thebanks.eu/emis/hrvatski-telekom-355004,providing mobile payments platform,internal entity
Croatia,https://thebanks.eu/list-of-emis/Croatia,PBZ CARD d.o.o.,https://thebanks.eu/emis/pbz-card-355002,providing payment cards,2.60
Croatia,https://thebanks.eu/list-of-emis/Croatia,PRIMEX PAYMENTS d.o.o.,https://thebanks.eu/emis/primex-payments-355306,payment solutions for e-commerce,2.32
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,Ecommbx Limited,https://thebanks.eu/emis/ecommbx-354683,providing seamless payment platform,3.40
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,Sepaga EMI ltd,https://thebanks.eu/emis/sepaga-emi-354688,"issuance, distribution and redemption of e-money",3.46
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,BNKPRO EUROPE LTD,https://thebanks.eu/emis/bnkpro-europe-355336,providing payment accounts and cards,3.05
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,CSC Europe Limited,https://thebanks.eu/emis/csc-europe-354682,online payment solutions for businesses,3.11
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,ISX Financial EU Ltd,https://thebanks.eu/emis/isx-financial-eu-354684,identity and payment solution for online businesses,3.37
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,Koronapay Europe Limited,https://thebanks.eu/emis/koronapay-europe-354927,money transfers in Europe,3.22
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,Nuvei Limited,https://thebanks.eu/emis/nuvei-354687,smart payment processing,3.31
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,Oro Pay Ltd,https://thebanks.eu/emis/oro-pay-354686,international money transfers,3.63
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,Realmode Services Limited,https://thebanks.eu/emis/realmode-services-355337,providing b2b payment platform,2.50
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,Sureswipe E.M.I. Plc,https://thebanks.eu/emis/sureswipe-emi-354885,providing IBAN accounts and payment cards,3.16
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,UNLIMINT EU LTD,https://thebanks.eu/emis/unlimint-eu-354681,payment processing and acceptance,3.51
Cyprus,https://thebanks.eu/list-of-emis/Cyprus,Sibilla Solutions Ltd,https://thebanks.eu/emis/sibilla-solutions-354689,money transfers and e-wallets,3.77
Czech Republic,https://thebanks.eu/list-of-emis/Czech-Republic,GOPAY s.r.o.,https://thebanks.eu/emis/gopay-354933,providing a payment gateway,3.44
Czech Republic,https://thebanks.eu/list-of-emis/Czech-Republic,Safe Payments Solutions s.r.o.,https://thebanks.eu/emis/safe-payments-solutions-355212,local and international money transfers,3.50
