STR Number,Hotel Name,Address 1,City,State,URL,Hotel Name Found,Hotel Website URL,Hotel Phone Number,Avg Rating,# Total Reviews,Hotel Local Ranking,Rating - Location,Rating - Cleanliness,Rating - Service,Rating - Value,GreenLeaders GreenPartner,Traveler's Choice,Property Amenities,Room Features,Room Types,Hotel Class,Hotel Style,Location Rating 1,Location Rating 1 Text,Location Rating 1 Detail,Location Rating 2,Location Rating 2 Text,Location Rating 2 Detail,Location Rating 3,Location Rating 3 Text,Location Rating 3 Detail,# 5 Star Ratings,# 4 Star Ratings,# 3 Star Ratings,# 2 Star Ratings,# 1 Star Ratings,# QAs,# Room Types,Popular Mentions
10065,Comfort Inn Clarks Summit,811 Northern Blvd,South Abington Township,PA,https://www.tripadvisor.com/Hotel_Review-g52370-d102311-Reviews-Comfort_Inn-Clarks_Summit_Pennsylvania.html,Comfort Inn,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=235135847&geo=102311&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=984132&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380187&managed=false&capped=false&gosox=Rnc68ag1Z1kBEFxPUSV6GghfKXdUVHtE_HoRN-bTxvQdQx4u-Ti41-fVPabjGIyctTBJMWLqDYB4ZNe5zmZDb_gemXlBqVcEU7EJLPtu-_L-0-UZ8PmqvumzdnlQ9xNk&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=1279b79a10325c98a4e5c5991d7440034_KYc,18444237491,4.0,225,#2 of 6 hotels in Clarks Summit,4.2,3.7,4.2,3.8,FALSE,FALSE,"Free parking
Breakfast buffet
Wifi
Parking
Free breakfast
Breakfast available
Non-smoking hotel
Free High Speed Internet (WiFi)
Baggage storage","Flatscreen TV
Air conditioning
Housekeeping
Microwave","Family rooms
Non-smoking rooms",2.0,,,,,,,,,,,76,77,35,16,21,5,38,"stay there again
comfortable room
front desk staff"
10161,Rodeway Inn Dayton South Miamisburg,185 Byers Rd,Miamisburg,OH,https://www.tripadvisor.com/Hotel_Review-g50644-d101587-Reviews-Rodeway_Inn-Miamisburg_Miami_Township_Ohio.html,Rodeway Inn,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=235135445&geo=101587&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=984132&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380188&managed=false&capped=false&gosox=Rnc68ag1Z1kBEFxPUSV6GghfKXdUVHtE_HoRN-bTxvQdQx4u-Ti41-fVPabjGIyctTBJMWLqDYB4ZNe5zmZDb96tVHOLiMbgtHPYVPgWRc1ho4Y0hi1L8_DG7o5Mjp51&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=13c5f0e460d7d6403f95a26698d23a033_uzr,18449074707,3.5,53,#14 of 18 hotels in Miamisburg,4.0,3.2,3.5,3.7,FALSE,FALSE,"Free parking
Wifi
Laundry service
Parking
Self-serve laundry
Pool
Pets Allowed ( Dog / Pet Friendly )
Free High Speed Internet (WiFi)
Outdoor pool","Refrigerator
Air conditioning
Microwave",Non-smoking rooms,2.0,,37,Car recommended,Grade: 37 out of 100,41,Restaurants,within 0.75 miles,6,Attractions,within 0.75 miles,15,15,8,3,12,0,12,"walking distance
perkins
dayton
couch
desk"
10012,1st Interstate Inn Sterling,1460 E Chestnut St,Sterling,CO,https://www.tripadvisor.com/Hotel_Review-g33658-d4555538-Reviews-First_Interstate_Inn-Sterling_Colorado.html,First Interstate Inn,,,1.5,18,#3 of 3 B&Bs / Inns in Sterling,3.3,2.4,2.1,2.7,FALSE,FALSE,Children Activities (Kid / Family Friendly),,Family rooms,,,,,,,,,,,,1,1,2,2,12,0,4,
11152,Motel 6 Chino - Los Angles Area,12266 Central Ave,Chino,CA,https://www.tripadvisor.com/Hotel_Review-g32205-d76481-Reviews-Motel_6_Chino-Chino_California.html,Motel 6 Chino,,,2.5,31,#4 of 4 hotels in Chino,2.8,2.3,2.7,2.6,FALSE,FALSE,"Free parking
Vending machine
Wifi
Children Activities (Kid / Family Friendly)
Laundry service
Self-serve laundry
Pets Allowed ( Dog / Pet Friendly )
24-hour front desk
Non-smoking hotel
Free High Speed Internet (WiFi)
Sun terrace
Restaurant",Air conditioning,Non-smoking rooms,2.0,,45,Car recommended,Grade: 45 out of 100,59,Restaurants,within 0.75 miles,0,Attractions,within 0.75 miles,4,5,5,5,12,1,7,
11016,Baymont Canton,5335 Broadmoor Cir NW,Canton,OH,https://www.tripadvisor.com/Hotel_Review-g50168-d95096-Reviews-Baymont_by_Wyndham_Canton_Hall_of_Fame-Canton_Ohio.html,Baymont by Wyndham Canton/Hall of Fame,,,3.5,588,#14 of 19 hotels in Canton,4.3,4.0,4.1,3.9,FALSE,FALSE,"Indoor pool
Pets Allowed ( Dog / Pet Friendly )
Dry cleaning
Wifi
Heated pool
Parking
Self-serve laundry
Pool
Free parking
Meeting rooms
24-hour front desk
Express check-in / check-out
Business Center with Internet Access
Fitness Center with Gym / Workout Room
Breakfast buffet
Kids stay free
Laundry service
Free breakfast
Non-smoking hotel
Free High Speed Internet (WiFi)","Flatscreen TV
Housekeeping","Suites
Family rooms
Non-smoking rooms",2.5,Mid-range,52,Somewhat walkable,Grade: 52 out of 100,57,Restaurants,within 0.75 miles,5,Attractions,within 0.75 miles,227,145,96,44,76,8,65,"la quinta
room was clean
hot tub
first floor
one night stay
hall of fame
breakfast staff
would stay here again
front desk staff
indoor pool
coffee maker
cereal
microwave"
10560,Ascend Collection Winter The Dolphin's Beach Club,655 S Gulfview Blvd,Clearwater Beach,FL,https://www.tripadvisor.com/Hotel_Review-g34141-d86175-Reviews-Winter_The_Dolphin_s_Beach_Club-Clearwater_Florida.html,Winter The Dolphin's Beach Club,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=235136299&geo=86175&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=984132&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380189&managed=false&capped=false&gosox=Rnc68ag1Z1kBEFxPUSV6GghfKXdUVHtE_HoRN-bTxvQdQx4u-Ti41-fVPabjGIyctTBJMWLqDYB4ZNe5zmZDb3KQPXjsnwUeGAaXJ3xbIUIDg8X-ALjQFItDBAEqu7qq&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=1404d83828a26bb5b1b78b78ac478d5d0_QYh,18449932422,4.5,291,#5 of 97 hotels in Clearwater,4.8,3.7,4.6,4.5,FALSE,TRUE,"Paid private parking on-site
Beach
Fence around pool
Wifi
Self-serve laundry
Pool
ATM on site
Baggage storage
Restaurant
Pool / beach towels
Clothes dryer
Bicycle rental
Sun loungers / beach chairs
24-hour front desk
Breakfast available
Parking garage
Outdoor pool
Outdoor furniture
Washing machine
Outdoor dining area
Gift shop
Pool with view
Laundry service
Sun umbrellas
Kids' meals
Bar / lounge
Non-smoking hotel
Free High Speed Internet (WiFi)
Poolside bar","Flatscreen TV
Telephone
Refrigerator
Private beach
Microwave
Bath / shower
Coffee / tea maker
Wardrobe / closet
Complimentary toiletries
Blackout curtains
Bottled water
Hair dryer
Housekeeping
Private balcony
Iron
Air conditioning
Safe
Private bathrooms","Ocean view
Non-smoking rooms
City view
Pool view",3.0,"Family Resort
Ocean View",75,Somewhat walkable,Grade: 75 out of 100,18,Restaurants,within 0.3 miles,3,Attractions,within 0.3 miles,226,34,19,5,7,15,47,"dolphin resort
cabana restaurant
front desk
stayed at the hampton inn
girls trip
onsite restaurant
vacation spot
crab cakes
poolside room
liquor store
chairs and umbrellas
the hotel is clean
clearwater aquarium
ocean front
family vacation
across the street
great place to stay
clean towels
excellent stay
staff was very friendly and helpful
walking distance
parking garage"
10605,Murphysboro Carbondale Hotel,128 E Walnut St,Murphysboro,IL,https://www.tripadvisor.com/Hotel_Review-g36419-d248633-Reviews-Americas_Best_Value_Inn_Murphysboro_Carbondale-Murphysboro_Illinois.html,Americas Best Value Inn Murphysboro / Carbondale,,,2.5,24,#2 of 2 hotels in Murphysboro,3.4,1.9,3.2,2.4,FALSE,FALSE,"Free parking
Internet
Parking
Pets Allowed ( Dog / Pet Friendly )
24-hour front desk
Non-smoking hotel
Free High Speed Internet (WiFi)
Restaurant",Refrigerator,Non-smoking rooms,1.0,,,,,,,,,,,4,1,3,5,11,0,3,
11350,Bell Rock Inn,6246 State Route 179,Sedona,AZ,https://www.tripadvisor.com/Hotel_Review-g4813352-d74214-Reviews-Bell_Rock_Inn-Village_of_Oak_Creek_Arizona.html,Bell Rock Inn,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=74214&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=268380189&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkf2rDCiMVX9cyF7w8nwqo3HSsWX4zroX57_mzzMSxMtl4p8pDrbfBIP7jlJEWo_SLA&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=2&cs=1725cda74b0d182ee5e402083fe35e5c9_EbS,19282966541,4.0,807,#9 of 13 hotels in Village of Oak Creek,4.2,4.2,4.0,4.0,FALSE,TRUE,"Free parking
Fitness Center with Gym / Workout Room
Wifi
Heated pool
Laundry service
Parking
Hot tub
Self-serve laundry
Pool
24-hour front desk
Paid internet
Free High Speed Internet (WiFi)
Outdoor pool
BBQ facilities
Concierge
Business Center with Internet Access","Desk
Flatscreen TV
Telephone
Refrigerator
Kitchenware
Microwave
Coffee / tea maker
Kitchenette
Housekeeping
Private balcony
Hair dryer
Air conditioning
Seating area","Suites
Non-smoking rooms",3.0,"Mid-range
Family",71,Somewhat walkable,Grade: 71 out of 100,25,Restaurants,within 0.75 miles,16,Attractions,within 0.75 miles,279,286,133,62,47,36,100,"diamond resorts
full kitchen
hot tub
stove top
timeshare presentation
minute presentation
living room
small kitchen
one bedroom unit
second floor
minute drive
coffee maker
sitting area
hiking trails
sedona area
grocery store
concierge
studio
property
bell
dora
rock"
11025,Baymont Inn & Suites Murfreesboro,2230 Armory Dr,Murfreesboro,TN,https://www.tripadvisor.com/Hotel_Review-g60970-d98097-Reviews-Baymont_by_Wyndham_Murfreesboro-Murfreesboro_Tennessee.html,Baymont by Wyndham Murfreesboro,,,3.0,"1,299",#26 of 39 hotels in Murfreesboro,3.9,3.4,3.7,3.6,FALSE,FALSE,"Free parking
Fitness Center with Gym / Workout Room
Newspaper
Wifi
Parking
Meeting rooms
Free breakfast
Self-serve laundry
Pool
Pets Allowed ( Dog / Pet Friendly )
24-hour front desk
Breakfast available
Free High Speed Internet (WiFi)
Outdoor pool
BBQ facilities
Snack bar
Business Center with Internet Access","Refrigerator
Flatscreen TV
Air conditioning
Microwave","Suites
Family rooms
Non-smoking rooms",2.5,,71,Somewhat walkable,Grade: 71 out of 100,99,Restaurants,within 0.75 miles,14,Attractions,within 0.75 miles,298,346,236,195,224,4,96,"free breakfast
bed was comfortable
hot breakfast
yogurt
interstate
kitchenette"
10164,Rodeway Inn Findlay,1901 Broad Ave,Findlay,OH,https://www.tripadvisor.com/Hotel_Review-g50336-d101674-Reviews-Rodeway_Inn-Findlay_Ohio.html,Rodeway Inn,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=235134922&geo=101674&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=984132&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380189&managed=false&capped=false&gosox=Rnc68ag1Z1kBEFxPUSV6GghfKXdUVHtE_HoRN-bTxvQdQx4u-Ti41-fVPabjGIyctTBJMWLqDYB4ZNe5zmZDb4Q-6wJspV1idxqNlEDiexkvkMRx63VEaICnBcCmHYwR&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=12dec4636de9c16af2ba73c9fe5fcf5d9_qhG,18336816044,3.5,21,#16 of 17 hotels in Findlay,3.7,3.0,3.7,2.8,FALSE,FALSE,"Free parking
Newspaper
Vending machine
Wifi
Golf course
Laundry service
Parking
Free breakfast
Self-serve laundry
Pets Allowed ( Dog / Pet Friendly )
24-hour front desk
Breakfast available
Non-smoking hotel
Free High Speed Internet (WiFi)
Concierge","Refrigerator
Microwave
Kitchenette
Room service
Housekeeping
Hair dryer
Air conditioning","Family rooms
Non-smoking rooms
Smoking rooms available",2.0,Budget,39,Car recommended,Grade: 39 out of 100,32,Restaurants,within 0.75 miles,0,Attractions,within 0.75 miles,7,6,2,3,3,0,3,
