URL,Name,Description,Website,Capability,Countries
https://partner.visa.com/site/partner-directory/adyen.html,Adyen,Visa Direct Preferred Partner,https://adyen.com,Value Added Services,"Australia, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom, Brazil, Canada, United States of America"
https://partner.visa.com/site/partner-directory/agilysys.html,Agilysys,"Agilysys has been a leader in hospitality software for more than 40 years, delivering innovative guest-centric technology solutions for hotels, resorts and cruise, gaming, corporate managed foodservice, restaurants, universities, stadia and healthcare. ",https://www.agilysys.com,Tap to Pay,United States of America
https://partner.visa.com/site/partner-directory/apto.html,Apto,"We set out to democratize card issuance and empower any company, at any size, in any industry, to design and launch new kinds of card programs. In 2015, we launched the first U.S., bitcoin-backed, debit card. Today, we continue to be a champion for the best, most innovative, user-first programs.",https://aptopayments.com/,Program Manager,United States of America
https://partner.visa.com/site/partner-directory/accendo-banco.html,Accendo Banco,"Personalized and innovative financial solutions are backed by reliable, transparent management and a firm commitment from the management team, our collaborators and shareholders.  At Accendo Banco we want to be the quintessential fiduciary bank, based on our experience, transparency and solidity; reaching international standards that maximize your profitability.",https://www.accendo.com.mx,"BIN Sponsors, Issuer Processor, Program Manager",Mexico
https://partner.visa.com/site/partner-directory/alinmabank.html,Alinma Bank,"Alinma provides a comprehensive range of Shariah-compliant retail and corporate banking and investment services. The bank serves its clients through a nationwide network of branches and ATMs and its alternative channels, Alinma Internet, Alinma Phone, Alinma Mobile, and the Alinma App for smart devices.",https://www.alinma.com/wps/portal/alinmaNew,BIN Sponsors,Saudi Arabia
https://partner.visa.com/site/partner-directory/alloy.html,Alloy,"Alloy is the command center for risk & fraud decisions, helping banks and Fintechs safely onboard more customers and mitigate fraud and financial risk.",https://alloy.co/,Value Added Services,United States of America
https://partner.visa.com/site/partner-directory/amadis.html,Amadis,"Amadis enables Android-based COTS devices with native NFC to process contactless EMV payments. Acceptance is performed through the provision of software within the COTS solutions. Licesnsing Amadis One creates time and cost reductions in software development, implementation, integration, qualification, and certification. Amadis One is a pre-qualified solution that leverages the Agnos framework and all the global Agnos contactless EMV kernels.",http://www.amadis.ca,Tap to Phone,"American Samoa, Australia, Bangladesh, Bhutan, British Indian Ocean Territory, Brunei Darussalam, Cambodia, Christmas Island, Cocos [Keeling] Island, Cook Islands, Fiji, French Polynesia, French Southern Territories, Guam, Heard Island and Mcdonald Islands, Hong Kong, India, Indonesia, Japan, Kiribati, Lao People's Dem. Rep., Macau, Mainland China, Malaysia, Maldives, Marshall Islands, Micronesia, Mongolia, Myanmar, Nauru, Nepal, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Palau, Papua New Guinea, Philippines, Pitcairn Islands, Samoa, Singapore, South Korea, Sri Lanka, Taiwan, Thailand, Timor-Leste, Tokelau, Tonga, Tuvalu, U.S. Minor Outlying Island, Vanuatu, Vietnam, Wallis and Futuna, Afghanistan, Albania, Algeria, Angola, Armenia, Azerbaijan, Bahrain, Belarus, Benin, Bosnia and Herzegovina, Botswana, Bouvet Island, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Chad, Comoros, Congo, Cote D'Ivoire, Democratic Republic Congo, Djibouti, Egypt, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Gambia, Georgia, Ghana, Guinea, Guinea-Bissau, Iraq, Jordan, Kazakhstan, Kenya, Kosovo, Kuwait, Kyrgyzstan, Lebanon, Lesotho, Liberia, Libyan Arab Jamahiriya, Macedonia, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mayotte, Moldova, Republic of, Montenegro, Morocco, Mozambique, Namibia, Niger, Nigeria, Oman, Pakistan, Qatar, Republic of Serbia, Russian Federation, Rwanda, Réunion, Saint Helena, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, State of Palestine, Sudan, Swaziland, Tajikistan, Togo, Tunisia, Turkmenistan, Uganda, Ukraine, United Arab Emirates, United Rep. of Tanzania, Uzbekistan, Western Sahara, Yemen, Zambia, Zimbabwe, Aland, Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, France, Metropolitan, Germany, Gibraltar, Greece, Greenland, Guernsey, Hungary, Iceland, Isle of Man, Israel, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, San Marino, Slovakia, Slovenia, Spain, Svalbard and Jan Mayen, Sweden, Switzerland, Turkey, United Kingdom, Vatican City State, Anguilla, Antarctica, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Carribean Netherlands, Cayman Islands, Chile, Colombia, Costa Rica, Curacao, Dominica, Dronning Maud Land, Ecuador, El Salvador, Falkland Islands, French Guiana, Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Republica Dominicana, Saint Martin, Sint Maarten, South Georgia and the South Sandwich Islands, St. Kitts-Nevis, St. Lucia, St. Vincent & Grenadines, Suriname, Trinidad and Tobago, Turks & Caicos Islands, U.S. Virgin Islands, Uruguay, Venezuela, Canada, Saint Pierre and Miquelon, United States of America"
https://partner.visa.com/site/partner-directory/11fs.html,11FS,"11:FS Pulse is a cutting-edge research and benchmarking platform with over 3,000 user-journeys across banking and Fintech institutions. Intelligent filtering, searching, and customisable watchlists make it quick and easy to conduct rich, insightful competitor analysis.",https://www.11fs.com/,Value Added Services,"Aland, Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Gibraltar, Greece, Greenland, Guernsey, Hungary, Iceland, Isle of Man, Israel, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, San Marino, Slovakia, Slovenia, Spain, Svalbard and Jan Mayen, Sweden, Switzerland, Turkey, United Kingdom, Vatican City State"
https://partner.visa.com/site/partner-directory/astra.html,Astra,Astra provides an instant account funding solution with included risk mitigation delivered via API.,https://astra.finance/,NA,United States of America
https://partner.visa.com/site/partner-directory/artajasa.html,Artajasa,"ARTAJASA is a network provider of infrastructure for Banking & Financial Institutions. We provide issuer processing services to assist an issuer, usually a bank but it might be fintech or payment firm, in their effort to issue and/or manage payment cards.",https://www.artajasa.co.id,Issuer Processor,Indonesia
https://partner.visa.com/site/partner-directory/aci-worldwide.html,ACI Worldwide,"ACI Worldwide is a global software company providing real-time payment solutions to corporations. Customers use our solutions to process and manage digital payments, enable omni-commerce payments, present and process bill payments, and manage fraud and risk.",https://www.aciworldwide.com,Buy Now Pay Later (BNPL),"Japan, New Zealand, South Africa, United Arab Emirates, Czech Republic, Denmark, Finland, France, Germany, Italy, Latvia, Norway, Poland, Republic of Ireland, Sweden, Switzerland, United Kingdom, Mexico, Canada, United States of America"
https://partner.visa.com/site/partner-directory/apdu.html,APDU Sp. zo.o.,"APDU specializes in financial and payment technology. The company develops software for payment terminals, terminal management systems and solutions for added-value services delivery. Our team has a unique knowledge of card issuance and acceptance, payment systems, processes and protocols, as well as information security and cardholder data protection.",NA,Back Office,"Australia, Morocco, Belgium, France, Italy, Poland, Mexico, Canada, United States of America, Australia, Morocco, Belgium, France, Italy, Mexico, Canada, United States of America"
https://partner.visa.com/site/partner-directory/array.html,Array,"We help our financial institution and fintech customers provide more personalized card offers to their members, increasing the number of Visa cardholders through the process.",https://array.com/,Value Added Services,United States of America
https://partner.visa.com/site/partner-directory/alcineo.html,Alcineo,"Alcineo SoftPOS SDK offers flexible options to simplify the customization of your SoftPOS solution, regardless your targeted markets.",http://www.alcineo.com/,Tap to Phone,"American Samoa, Australia, Bangladesh, Bhutan, British Indian Ocean Territory, Brunei Darussalam, Cambodia, Christmas Island, Cocos [Keeling] Island, Cook Islands, Fiji, French Polynesia, French Southern Territories, Guam, Heard Island and Mcdonald Islands, Hong Kong, India, Indonesia, Japan, Kiribati, Lao People's Dem. Rep., Macau, Mainland China, Malaysia, Maldives, Marshall Islands, Micronesia, Mongolia, Myanmar, Nauru, Nepal, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Palau, Papua New Guinea, Philippines, Pitcairn Islands, Samoa, Singapore, South Korea, Sri Lanka, Taiwan, Thailand, Timor-Leste, Tokelau, Tonga, Tuvalu, U.S. Minor Outlying Island, Vanuatu, Vietnam, Wallis and Futuna, Afghanistan, Albania, Algeria, Angola, Armenia, Azerbaijan, Bahrain, Belarus, Benin, Bosnia and Herzegovina, Botswana, Bouvet Island, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Chad, Comoros, Congo, Cote D'Ivoire, Democratic Republic Congo, Djibouti, Egypt, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Gambia, Georgia, Ghana, Guinea, Guinea-Bissau, Iraq, Jordan, Kazakhstan, Kenya, Kosovo, Kuwait, Kyrgyzstan, Lebanon, Lesotho, Liberia, Libyan Arab Jamahiriya, Macedonia, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mayotte, Moldova, Republic of, Montenegro, Morocco, Mozambique, Namibia, Niger, Nigeria, Oman, Pakistan, Qatar, Republic of Serbia, Russian Federation, Rwanda, Réunion, Saint Helena, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, State of Palestine, Sudan, Swaziland, Tajikistan, Togo, Tunisia, Turkmenistan, Uganda, Ukraine, United Arab Emirates, United Rep. of Tanzania, Uzbekistan, Western Sahara, Yemen, Zambia, Zimbabwe, Aland, Andorra, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands, Finland, France, France, Metropolitan, Germany, Gibraltar, Greece, Greenland, Guernsey, Hungary, Iceland, Isle of Man, Israel, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Romania, San Marino, Slovakia, Slovenia, Spain, Svalbard and Jan Mayen, Sweden, Switzerland, Turkey, United Kingdom, Vatican City State, Anguilla, Antarctica, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Carribean Netherlands, Cayman Islands, Chile, Colombia, Costa Rica, Curacao, Dominica, Dronning Maud Land, Ecuador, El Salvador, Falkland Islands, French Guiana, Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Republica Dominicana, Saint Martin, Sint Maarten, South Georgia and the South Sandwich Islands, St. Kitts-Nevis, St. Lucia, St. Vincent & Grenadines, Suriname, Trinidad and Tobago, Turks & Caicos Islands, U.S. Virgin Islands, Uruguay, Venezuela, Canada, Saint Pierre and Miquelon, United States of America"
https://partner.visa.com/site/partner-directory/atomic-fi.html,Atomic,"Atomic's payroll APIs provide the infrastructure for financial institutions to connect consumers to their employers’ payroll systems. Tapping into these systems unleashes many opportunities for financial institutions, including access to financial data for verification of income and employment, the ability to offer consumers automated set-up or updating of direct deposits, collection of financial obligations straight from consumer’s paychecks, early access of tax withholdings for your clients, and ability to provide clients access to earned but unpaid wages.",https://atomic.financial/,Value Added Services,"United States of America, United States of America, United States of America"
https://partner.visa.com/site/partner-directory/australian-settlements-limited.html,Australian Settlements Limited,"ASL provides high quality, value for money and efficient settlement and transaction processing services to our members. Through the aggregation of our members transactions we are able to significantly reduce transaction costs associated with settling cheque, direct entry, scheme card, BPAY and other financial transactions.",https://www.asl.com.au,"BIN Sponsors, Program Manager",Australia
https://partner.visa.com/site/partner-directory/argyle.html,Argyle,"Argyle provides companies with access to their customer's employment data in real-time. Argyle has the highest market coverage for user-permissioned (read: future proofed & user-friendly), continuous access to a user’s profile, employment, and income history.",https://get.argyle.com/visa/,Value Added Services,"Canada, United States of America"
https://partner.visa.com/site/partner-directory/bora-payment-systems.html,Bora Payment Systems,"The Payer Direct Hub owned by Bora Payment Systems, LLC (Bora) uses the existing credit card networks to “push” payments directly to suppliers without any involvement from the suppliers.",http://www.borapaymentsystems.com/Overview.htm,Business Solutions (B2B),United States of America
https://partner.visa.com/site/partner-directory/basiq.html,Basiq,"Our APIs enable consumer-consented access to financial data and tools to uncover valuable insights in real-time, so you can:",https://basiq.io/,Value Added Services,"Australia, New Zealand"
